code,category,number,title,units,desc
AFST 101-7,AFST,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
AFST 101-8,AFST,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
AFST 276-0,AFST,276-0,African Literature in Translation,1,Continental African literature. Content varies. May be repeated for credit with different topic. Taught with COMP_LIT 270-0; may not receive credit for both courses with same topic. Literature Fine Arts Distro Area
AFST 360-SA,AFST,360-SA,"Culture, Language, and Identity in South Africa",1,"Introduction to South African populations and cultures through direct experience and representations in history, art, literature, languages, and customs. Discussions of South African cultures and ethnicity, language use and policy, and identity. Restricted to students in Northwestern's South Africa program. Social Behavioral Sciences Distro Area"
AFST 390-0,AFST,390-0,Topics in African Studies,1,AFST 390-0 Topics in African Studies (1 Unit)  
AFST 390-SA,AFST,390-SA,Topics in African Studies,1,A general examination of topics relevant to African studies. May be repeated for credit with change of topic. Restricted to students in Northwestern's South Africa program.
AFST 392-1,AFST,392-1,Herskovits Undergraduate Research Award,1,2-course sequence required for recipients of the Herskovits Undergraduate Research Award. Consecutive enrollment required in AFST 392-2.
AFST 392-2,AFST,392-2,Herskovits Undergraduate Research Award,1,"2-course sequence required for recipients of the Herskovits Undergraduate Research Award. 
Prerequisite: AFST 392-1."
AFST 395-0,AFST,395-0,Senior Research Seminar,1,Capstone seminar addressing both techniques of research and the substance of a significant issue in African studies. Students develop skills at formulating a research topic and organizing research.
AFST 399-0,AFST,399-0,Independent Study,1,May be repeated for credit with change of topic.
