code,category,number,title,units,desc
ARABIC 111-1,ARABIC,111-1,Arabic I,1,"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: None or placement exam results."
ARABIC 111-2,ARABIC,111-2,Arabic I,1,"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: ARABIC 111-1 or equivalent."
ARABIC 111-3,ARABIC,111-3,Arabic I,1,"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. Prerequisite: None or placement exam results. 
Prerequisite: ARABIC 111-2 or equivalent."
ARABIC 114-0,ARABIC,114-0,Conversation and Culture in the Arab World,1,"This course focuses one of the main dialects of Arabic (Egyptian, Levantine, Moroccan). This course is strongly recommended for students, undergraduate or graduate, who wish to further explore a spoken variety of Arabic. The course uses a communicative, proficiency-oriented approach with fully integrated audiovisual media to help students acquire a solid background on how to communicate using a dialect. 
Prerequisite: 121-2."
ARABIC 121-1,ARABIC,121-1,Arabic II,1,"Further development of grammar knowledge, reading, writing, speaking, and listening skills. Completion of at least this level is recommended for students seeking functional proficiency for study abroad. 
Prerequisite: ARABIC 111-3 or equivalent."
ARABIC 121-2,ARABIC,121-2,Arabic II,1,"Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: ARABIC 121-1 or equivalent."
ARABIC 121-3,ARABIC,121-3,Arabic II,1,"Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: ARABIC 121-2 or equivalent."
ARABIC 125-0,ARABIC,125-0,Media Arabic,1,"Introduction to vocabulary, expressions, and terminology used in Arab print and broadcast media. 
Prerequisite: ARABIC 121-2 or equivalent."
ARABIC 211-1,ARABIC,211-1,Arabic III,1,"Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: ARABIC 121-3 or equivalent."
ARABIC 211-2,ARABIC,211-2,Arabic III,1,"Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. 
Prerequisite: ARABIC 211-1 or equivalent."
