code,category,number,title,units,desc
ART 101-7,ART,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ART 101-8,ART,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ART 210-0,ART,210-0,Introduction to Drawing,1,"Introduction to basic drawing techniques and problems in line, space, perception, and the expressive use of various graphic media. No previous experience necessary."
ART 220-0,ART,220-0,Introduction to Painting,1,"Introduction to problems in painting and visual thinking. Includes surface preparation, color mixing, and composition. No previous experience necessary."
ART 230-0,ART,230-0,Introduction to Time Based Arts,1,"Introduction to a wide range of time-based art practices as used in the visual arts, including performance, sound, and video. No previous experience necessary."
ART 240-0,ART,240-0,Introduction to Sculpture,1,Introduction to basic sculptural materials and techniques and issues of three-dimensional form. No previous experience necessary.
ART 250-0,ART,250-0,Introduction to Photography,1,Extensive darkroom instruction focusing on aesthetic problems and the production of high-quality black-and-white prints. No previous experience necessary.
ART 260-0,ART,260-0,Studio Practice,1,"Exploration of varied techniques and strategies geared toward the development of an individualized and self-directed studio practice. 
Prerequisite: junior standing in the major, or junior or senior standing in the minor."
ART 270-0,ART,270-0,Contemporary Art Survey,1,"Forms and concerns of art from the 1960s to the present, introduced in slide lecture format. Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART 272-0,ART,272-0,Critical Methods for Contemporary Art,1,"Introduction to basic key terms, concepts, and analytical categories of theoretical discourses relevant to an informed and critical engagement with contemporary art. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART 360-0,ART,360-0,Senior Critique,1,"Students complete a body of work to be shown in the senior exhibition, develop their critical skills, and learn to give articulate verbal and written expression to the concerns their art explores. 
Prerequisite: ART 260-0 and Junior or Senior standing in major.
 Advanced Expression"
ART 372-0,ART,372-0,Seminar,1,ART 372-0 Seminar (1 Unit) Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART 382-0,ART,382-0,Studio/Seminar,1,ART 382-0 Studio/Seminar (1 Unit)  
ART 390-0,ART,390-0,Studio,1,ART 390-0 Studio (1 Unit)  
ART 399-0,ART,399-0,Independent Study,1,"For advanced majors pursuing projects outside the context of regularly offered courses. 
Prerequisite: consent of department chair and director of undergraduate studies."
