code,category,number,title,units,desc
ART_HIST 101-7,ART_HIST,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ART_HIST 101-8,ART_HIST,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ART_HIST 220-0,ART_HIST,220-0,Introduction to African Art,1,"Introduction to art making in Africa; historical periods and regions of focus may vary depending on instructor. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 222-0,ART_HIST,222-0,Black Art in the TransAtlantic World,1,"Introduction to the visual arts and art history of the African diaspora, including the Caribbean, Brazil, and the United States, from the 19th century to present day. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 224-0,ART_HIST,224-0,Introduction to Ancient Art,1,"Introduction to the art and architecture of the ancient Near Eastern, Egyptian, Aegean, Greek, and Roman worlds. Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 225-0,ART_HIST,225-0,Introduction to Medieval Art,1,Introduction to the art and architecture of Europe and the Middle East from the third to fifteenth centuries CE. Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART_HIST 230-0,ART_HIST,230-0,Introduction to Art of the United States,1,"Survey of the art and architecture of the United States in its cultural context, from the art of conquest to contemporary production. Literature Fine Arts Distro Area"
ART_HIST 232-0,ART_HIST,232-0,Introduction to the History of Architecture: 1400 to Present,1,"The theory and history of architecture in relation to cities and landscape; historical periods and regions of focus may vary depending on the instructor. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 235-0,ART_HIST,235-0,Introduction to Latin American Art,1,"Survey of the work of artists and groups from throughout the various countries of Central and South America from colonial times to the present. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 240-0,ART_HIST,240-0,Introduction to Asian Art,1,"Introduction to the art and architecture of Asia from ancient cultures to contemporary developments, including religious, court, and popular genres. Depending on the instructor, this course covers South/Southeast Asia or East Asia. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 250-0,ART_HIST,250-0,Introduction to Early Modern European Art,1,"Leading centers and artists of Europe from the later Middle Ages to the 19th century, with attention to their global context. Architecture, sculpture, painting, and graphic arts in relation to their social and cultural settings. Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 255-0,ART_HIST,255-0,Introduction to Modernism,1,"Conceptual introduction to modernism, covering art and visual culture from the late-19th century to the mid-20th century, with a focus on Europe and the United States. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 260-0,ART_HIST,260-0,Introduction to Contemporary Art,1,"Conceptual and thematic introduction to art since the 1960s, with attention to the impact of new technologies, social and political change, globalization, and the ongoing transformation of artistic production and distribution. Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 318-0,ART_HIST,318-0,Exhibiting Antiquity: The Culture and Politics of Display,1,"Examination of the construction of Mediterranean antiquity through modes of reception since 1750. Analysis of programs of collecting and display and the intersection of institutional and scholarly agendas. ART_HIST 318-0, CLASSICS 397-0 and HUM 397-0 taught together; may receive credit for only 1 of these courses. Historical Studies Distro Area Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area"
ART_HIST 319-0,ART_HIST,319-0,Special Topics in Ancient Art,1,Content varies depending on the expertise of the instructor and may engage with exhibitions and museums in Chicago and beyond. Past topics have included monsters and civilization; monument and commemoration in antiquity; narrative in ancient art; and the Roman provinces.
ART_HIST 320-1,ART_HIST,320-1,Medieval Art: Byzantine,1,"Art and architecture of the Byzantine (Eastern Roman) empire in its larger Mediterranean, Middle Eastern and Eastern European context from the fourth to fifteenth century. Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 320-2,ART_HIST,320-2,Medieval Art: Early Medieval,1,ART_HIST 320-2 Medieval Art: Early Medieval (1 Unit) Literature Fine Arts Distro Area
ART_HIST 320-3,ART_HIST,320-3,Medieval Art: Late Medieval,1,Art and architecture of Europe from the twelfth to fifteenth centuries. Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART_HIST 329-0,ART_HIST,329-0,Special Topics in Medieval Art,1,ART_HIST 329-0 Special Topics in Medieval Art (1 Unit)  
ART_HIST 330-1,ART_HIST,330-1,Early Modern European Art 1400–1500,1,ART_HIST 330-1 Early Modern European Art 1400–1500 (1 Unit) Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART_HIST 330-2,ART_HIST,330-2,Early Modern European Art 1500–1600,1,ART_HIST 330-2 Early Modern European Art 1500–1600 (1 Unit) Literature Fine Arts Distro Area
ART_HIST 339-0,ART_HIST,339-0,Special Topics in Early Modern Art,1,ART_HIST 339-0 Special Topics in Early Modern Art (1 Unit)  
ART_HIST 340-1,ART_HIST,340-1,Baroque Art: Italy & Spain 1600–1800,1,"Painting and sculpture in Italy, Spain, and Latin America from 1600–1800. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 342-0,ART_HIST,342-0,Eighteenth-Century European Art,1,"Survey of European art, architecture, decorative arts, and material culture of the “long eighteenth century” (ca. 1670 to ca. 1815 CE) with a specific attention paid to Europe’s colonial and imperial legacy during the period. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 349-0,ART_HIST,349-0,Special Topics in 17th & 18th-Century Art,1,ART_HIST 349-0 Special Topics in 17th & 18th-Century Art (1 Unit)  
ART_HIST 350-1,ART_HIST,350-1,19th-Century Art 1: 1789–1848,1,"ART_HIST 350-1 19th-Century Art 1: 1789–1848 (1 Unit) Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 350-2,ART_HIST,350-2,19th-Century Art 2: 1848–1914,1,"ART_HIST 350-2 19th-Century Art 2: 1848–1914 (1 Unit) Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 359-0,ART_HIST,359-0,Special Topics in 19th-Century Art,1,ART_HIST 359-0 Special Topics in 19th-Century Art (1 Unit) Historical Studies Foundational Discipline Literature and Arts Foundational Discipline
ART_HIST 360-0,ART_HIST,360-0,20th Century Art,1,"Painting, sculpture, architecture, design, and visual culture of the 20th century. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 365-0,ART_HIST,365-0,Art of the United States,1,"Survey of the arts and visual culture in the United States, encompassing architecture, painting, sculpture, photography, prints, film, and popular culture. Literature Fine Arts Distro Area"
ART_HIST 367-0,ART_HIST,367-0,Special Topics in Art of the Americas,1,ART_HIST 367-0 Special Topics in Art of the Americas (1 Unit)  
ART_HIST 368-0,ART_HIST,368-0,Special Topics in Modern Art,1,"Content varies-for example, art of the Russian Revolution; the avant-garde; totalitarian art; art during war; modernism and its discontents; art and decolonization; medium specificity. Historical Studies Distro Area Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ART_HIST 369-0,ART_HIST,369-0,Special Topics in Contemporary Art,1,ART_HIST 369-0 Special Topics in Contemporary Art (1 Unit)  
ART_HIST 370-1,ART_HIST,370-1,"Architecture & Landscapes, 1750–1890",1,"ART_HIST 370-1 Architecture & Landscapes, 1750–1890 (1 Unit) Literature Fine Arts Distro Area"
ART_HIST 370-2,ART_HIST,370-2,"Architecture & Landscapes, 1890 to Present",1,"ART_HIST 370-2 Architecture & Landscapes, 1890 to Present (1 Unit) Literature Fine Arts Distro Area"
ART_HIST 375-0,ART_HIST,375-0,Media Theory,1,Comprehensive introduction from a humanistic perspective to theories about the nature of media and the role of technology in modern culture. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART_HIST 378-0,ART_HIST,378-0,The Global City,1,ART_HIST 378-0 The Global City (1 Unit) Historical Studies Foundational Discipline Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ART_HIST 379-0,ART_HIST,379-0,Special Topics in Architectural History,1,ART_HIST 379-0 Special Topics in Architectural History (1 Unit)  
ART_HIST 384-0,ART_HIST,384-0,African American Art,1,ART_HIST 384-0 African American Art (1 Unit) Literature Fine Arts Distro Area
ART_HIST 385-0,ART_HIST,385-0,Black Visual Culture: Race and Representation,1,"Examination of how visual representations and technologies of vision have been used to create, transform, or destabilize the idea of race as it pertains to people in Africa and/or the African diaspora at specific historical moments. Literature Fine Arts Distro Area"
