code,category,number,title,units,desc
ASIAN_LC 101-7,ASIAN_LC,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ASIAN_LC 101-8,ASIAN_LC,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ASIAN_LC 200-0,ASIAN_LC,200-0,Introductory Topics in Chinese Literature and Culture,1,"Introduction to topics in Chinese literature and culture, from precolonial to contemporary periods and contexts. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 202-0,ASIAN_LC,202-0,Introduction to Modern Chinese Literature and Culture,1,Introduction to topics in the history of cultural production in modern China between the 19th century and present day. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area
ASIAN_LC 204-0,ASIAN_LC,204-0,Modern Chinese Popular Culture I,1,"Introduction to the history of modern Chinese popular cultural production between the mid-19th century and 1949. The course is designed around the introduction and adaptation of four media technologies: photography, film, mass print culture, and sound recording. No prerequisites. Literature Fine Arts Distro Area"
ASIAN_LC 205-0,ASIAN_LC,205-0,Modern Chinese Popular Culture II,1,"Introduction to popular cultural production in Mainland China, Taiwan, and Hong Kong between 1949 and the present. ASIAN_LC 204-0 is recommended. No prerequisites. Literature Fine Arts Distro Area"
ASIAN_LC 220-0,ASIAN_LC,220-0,Introductory Topics in Japanese Literature and Culture,1,"Introduction to topics in Japanese literature and culture, from premodern to contemporary periods. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area"
ASIAN_LC 221-0,ASIAN_LC,221-0,Introduction to Premodern Japanese Literature and Culture,1,"Introduction to Japanese literature and culture from the earliest writings to the dawn of the modern era (8th-19th c.): poetry, narrative fiction, essays, diaries, theater. Focus is on reading literary texts in historical context. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 222-0,ASIAN_LC,222-0,Introduction to Modern Japanese Literature and Culture,1,"Introduction to Japanese literature, thought, and culture from the mid-19th to mid-20th century: fiction, poetry, theater, essays. Focus is on reading literary texts in relation to historical context. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 223-0,ASIAN_LC,223-0,Introduction to Contemporary Japanese Literature and Culture,1,"Introduction to Japanese literature, thought, and culture from the mid-20th to early 21st century: fiction, poetry, theater, essays, animation, manga. Focus is on reading literary texts in relation to historical context. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 224-0,ASIAN_LC,224-0,"Introduction to Japanese Film, Media, and Visual Culture",1,"Introduction to Japanese media and visual culture. Topics may include: pre-modern visual narrative, pre-modern print culture, cinema, animation, manga, video games. Focus is on reading media and visual culture in relation to historical context. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 240-0,ASIAN_LC,240-0,Introductory Topics in Korean Literature and Culture,1,"Introduction to topics in Korean literature and culture, from precolonial to contemporary periods and contexts. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 260-0,ASIAN_LC,260-0,Introductory Topics in South Asian Literature and Culture,1,"Introduction to topics in South Asian literature and culture, from precolonial to contemporary periods and contexts. May be repeated with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 261-0,ASIAN_LC,261-0,South Asian Popular Cultures,1,"This course offers an introduction to the intersecting worlds of popular literature, digital media, folk arts, performance, and politics of South Asia with a focus on the relationship between artistic expression, social reform and political change. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 265-0,ASIAN_LC,265-0,South Asian Cinemas,1,"Narrative and aesthetic approaches to understanding popular cinemas in South Asia with special attention to historical, local, and global contexts. May be repeated for credit with change of topic. No prerequisites. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 290-0,ASIAN_LC,290-0,Introductory Topics in Asian Languages and Cultures,1,Content and prerequisites vary. May be repeated for credit with change of topic. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 300-0,ASIAN_LC,300-0,Advanced Topics in Chinese Literature and Culture,1,"ASIAN_LC 300-0 Advanced Topics in Chinese Literature and Culture (1 Unit) Advanced Expression Global Perspectives on Power, Justice, and Equity Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 320-0,ASIAN_LC,320-0,Advanced Topics in Japanese Literature and Culture,1,ASIAN_LC 320-0 Advanced Topics in Japanese Literature and Culture (1 Unit) Literature Fine Arts Distro Area
ASIAN_LC 321-0,ASIAN_LC,321-0,Advanced Topics in Premodern Japanese Literature and Culture,1,ASIAN_LC 321-0 Advanced Topics in Premodern Japanese Literature and Culture (1 Unit) Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 322-0,ASIAN_LC,322-0,Advanced Topics in Modern and Contemporary Japanese Literature and Culture,1,ASIAN_LC 322-0 Advanced Topics in Modern and Contemporary Japanese Literature and Culture (1 Unit) Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 340-0,ASIAN_LC,340-0,Advanced Topics in Korean Literature and Culture,1,ASIAN_LC 340-0 Advanced Topics in Korean Literature and Culture (1 Unit) Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 360-0,ASIAN_LC,360-0,Advanced Topics in South Asian Languages and Cultures,1,ASIAN_LC 360-0 Advanced Topics in South Asian Languages and Cultures (1 Unit) Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 370-0,ASIAN_LC,370-0,Literary Cultures in South Asia,1,ASIAN_LC 370-0 Literary Cultures in South Asia (1 Unit) Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 373-0,ASIAN_LC,373-0,Religious and Textual Traditions in South Asia,1,ASIAN_LC 373-0 Religious and Textual Traditions in South Asia (1 Unit) Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
ASIAN_LC 375-0,ASIAN_LC,375-0,South Asian Societies,1,"ASIAN_LC 375-0 South Asian Societies (1 Unit) Global Perspectives on Power, Justice, and Equity Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 390-0,ASIAN_LC,390-0,Advanced Topics in Asian Languages and Cultures,1,"ASIAN_LC 390-0 Advanced Topics in Asian Languages and Cultures (1 Unit) Advanced Expression Global Perspectives on Power, Justice, and Equity Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 392-0,ASIAN_LC,392-0,"Advanced Studies in Asian Film, Media, and Visual Culture",1,"Advanced topics in Asian film, media, and visual culture. May be repeated for credit with change of topic. 
Prerequisite: ASIAN_LC 202-0 or ASIAN_LC 204-0 or ASIAN_LC 205-0 or ASIAN_LC 224-0 or ASIAN_LC 265-0 (C- or better); or consent of instructor.
Advanced Expression Global Perspectives on Power, Justice, and Equity Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ASIAN_LC 393-0,ASIAN_LC,393-0,Asian Environmental Humanities,1,"ASIAN_LC 393-0 Asian Environmental Humanities (1 Unit) 
Prerequisite: Consent of instructor.
Global Perspectives on Power, Justice, and Equity Literature and Arts Foundational Discipline"
ASIAN_LC 394-0,ASIAN_LC,394-0,Space and Place in Asian Literatures and Cultures,1,ASIAN_LC 394-0 Space and Place in Asian Literatures and Cultures (1 Unit) Literature Fine Arts Distro Area
ASIAN_LC 395-0,ASIAN_LC,395-0,Genre in Asian Literatures,1,ASIAN_LC 395-0 Genre in Asian Literatures (1 Unit) Literature Fine Arts Distro Area
ASIAN_LC 397-0,ASIAN_LC,397-0,Research Seminar,1,"A research seminar in Asian Languages and Cultures, usually taken in the junior or senior year. 
Prerequisite: consent of the instructor."
ASIAN_LC 399-0,ASIAN_LC,399-0,Independent Study,1,"The independent study is designed for advanced undergraduates interested in studying topics not otherwise covered in normal ALC courses. 
Prerequisite: consent of director of undergraduate studies and instructor."
