code,category,number,title,units,desc
BIOL_SCI 100-0,BIOL_SCI,100-0,Introduction to Biological Sciences at Northwestern,1,For participants in Bio&ChemEXCEL summer program. An overview of recent advances in biological research and leadership within the field of biology. Taken with CHEM 100-0.
BIOL_SCI 101-7,BIOL_SCI,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
BIOL_SCI 101-8,BIOL_SCI,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
BIOL_SCI 103-0,BIOL_SCI,103-0,Diversity of Life,1,"Comparative survey of organisms, emphasizing adaptation and phylogenetic relationships. Particular emphasis on animals. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
BIOL_SCI 104-0,BIOL_SCI,104-0,Plant-People Interactions,1,Biology and history of the interaction of humans and flowering plants. Natural Sciences Distro Area
BIOL_SCI 109-0,BIOL_SCI,109-0,The Nature of Plants,1,"Plant adaptations for growth, survival, and reproduction. Plant defense against herbivory, pollination, and seed dispersal. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
BIOL_SCI 115-6,BIOL_SCI,115-6,College Seminar,1,For participants in the NUBioscientist program. Biological Thought & Action; preparatory to BIOL_SCI 116-6.
BIOL_SCI 116-6,BIOL_SCI,116-6,First-Year Writing Seminar,1,For participants in the NUBioscientist program. Science Research Preparation; follows BIOL_SCI 115-6.
BIOL_SCI 150-0,BIOL_SCI,150-0,Human Genetics,1,Basic principles of human inheritance and genetic variation. Natural Sciences Distro Area Natural Sciences Foundational Discipline
BIOL_SCI 164-0,BIOL_SCI,164-0,Basic Genetics and Evolution,1,Principles of inheritance as they apply to evolution. May not receive credit after taking BIOL_SCI 203-0. Natural Sciences Distro Area Natural Sciences Foundational Discipline
BIOL_SCI 201-0,BIOL_SCI,201-0,Molecular Biology,1,"This course focuses on how information is stored and propagated in DNA, and used and regulated to generate proteins at the proper time and location. It also applies this information to understanding fundamentals of biotechnology. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
BIOL_SCI 201-MG,BIOL_SCI,201-MG,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in BIOL_SCI 201-0. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
BIOL_SCI 201-SG,BIOL_SCI,201-SG,Peer-Guided SG: Molecular Biology,0,"Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U. Co-requisite: BIOL_SCI 201-0."
