code,category,number,title,units,desc
BLK_ST 101-7,BLK_ST,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thrive at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
BLK_ST 101-8,BLK_ST,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
BLK_ST 210-0,BLK_ST,210-0,Introduction to African American Literature,1,"Literature of Black people in the United States from slavery to freedom. Works of major writers and significant but unsung bards of the past. ENGLISH 266-0 and BLK_ST 210-0 are taught together. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 211-0,BLK_ST,211-0,Literatures of the Black World,1,"Introductory survey of fiction, poetry, drama, folktales, and other literary forms of Africa and the African diaspora. Texts may span the precolonial, colonial, and postcolonial periods and cover central themes, such as memory, trauma, spirituality, struggle, identity, freedom, and humor. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
BLK_ST 212-1,BLK_ST,212-1,Introduction to African-American History: Key concepts from 1700-1861,1,"African origins, the slave trade, origins of slavery and racism in the United States, life under slavery in the North and the South. BLK_ST and HISTORY 212-1 are taught together; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 212-2,BLK_ST,212-2,Introduction to African American History: Emancipation to Civil Rights Movement,1,"Emancipation to the civil rights era. Reconstruction, rise of legal segregation, strategies of resistance, migration, and urbanization. BLK_ST 212-2 and HISTORY 212-2 are taught together; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 213-0,BLK_ST,213-0,History of the Black World,1,"Introductory survey of the history of Africans and their descendants across the globe. African civilizations prior to European colonialism, encounters between Africa and Europe, movements of ""Africans"" to the Americas and elsewhere, and development of Black Introductory survey of the history of Africans and their descendants across the globe. African civilizations prior to European colonialism, encounters between Africa and Europe, movements of ""Africans"" to the Americas and elsewhere, and development of Bblack communities in and outside Africa. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
BLK_ST 214-0,BLK_ST,214-0,Comparative Race and Ethnic Studies,1,"Problems and experiences of racialized minorities: Blacks, Native Americans, Asian Americans, and Latina/o peoples. Comparison of their relationships with each other and with the majority society. Historical Studies Distro Area Social Behavioral Sciences Distro Area Social and Behavioral Science. Historical Studies Distro Area Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 215-0,BLK_ST,215-0,Introduction to Black Social & Political Life,1,"Analysis of class, gender, sexuality, immigrant status, and ethnic origin in Black society and politics. Focus on demographic trends, lived experiences, and ideological debates. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 218-0,BLK_ST,218-0,Asian/Black Historical Relations in the U.S.,1,"Comparative historical analysis of relations of these groups in the United States, including racialized and sexualized discourses structuring interracial relations and social, political, and economic location. Slavery, immigration, model minority myth, cross-racial politics. BLK_ST 218-0 and ASIAN_AM 218-0 are taught together; may not receive credit for both courses. Historical Studies Distro Area Interdisciplinary Distro - See Rules Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
BLK_ST 220-0,BLK_ST,220-0,Civil Rights and Black Liberation,1,"The Northern and Southern Civil Rights Movements and the rise of Black nationalism and feminism, 1945-72. Ethics Values Distro Area Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 225-0,BLK_ST,225-0,African-American Culture,1,"Survey of African American culture from slavery to the present. Relation of African American culture to African and Euro-American cultures, the Black Atlantic as a unit of analysis, representations of Blackness in the public imagination. Literature Fine Arts Distro Area"
BLK_ST 236-0,BLK_ST,236-0,Introduction to Black Studies,1,"Introduction to the discipline of Black Studies using key historical and theoretical texts. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 245-0,BLK_ST,245-0,The Black Diaspora and Transnationality,1,"Examination of events, movements, theories, and texts that have shaped development of the African diaspora. Topics include slavery, abolitionism, pan-Africanism, the culture-politics nexus, hip-hop, AIDS, and linkages among gender, sexuality, and diasporic sensibilities. Historical Studies Distro Area"
BLK_ST 247-0,BLK_ST,247-0,Black Life. Trans Life.,1,"This course will introduce students to the parameters and textures of Black life, Trans life, and Black Trans life. Popular discourse has either depicted Black Trans people as glamorous superstars or always and already predisposed to death. This course, then, seeks to usefully complicate these narratives and focus on Black and Trans *life*. U.S. Perspectives on Power, Justice, and Equity"
BLK_ST 250-0,BLK_ST,250-0,"Race, Class and Gender",1,"Introduction to scholarship and key theories that treat race, class, and gender as intersecting social constructs. Race, class, and gender in work, family and reproduction, education, poverty, sexuality, and consumer culture. How race, class, and gender inform identity, ideology, and politics to incite social change. Social Behavioral Sciences Distro Area"
