code,category,number,title,units,desc
CHEM 100-0,CHEM,100-0,Introduction to Calculus and Chemistry,1,For participants in Bio&ChemEXCEL summer program. Introduction to calculus and general chemistry. Taken with BIOL_SCI 100-0.
CHEM 100-BR,CHEM,100-BR,Introduction to Problem Solving in Chemistry,0.5,"For participants in Bridge I summer program. Developing facility with quantitative tools to solve problems in chemistry. 
Prerequisites: MATH 100-BR and HUM 100-1-BR."
CHEM 105-7,CHEM,105-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
CHEM 105-8,CHEM,105-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
CHEM 110-0,CHEM,110-0,Quantitative Problem Solving in Chemistry,1.34 Units,"Solution strategies for traditional word problems and their application to basic chemistry quantitative problems: dimensional analysis, chemical equations, stoichiometry, limiting reagents. 
Prerequisite: permission of department."
CHEM 110-MG,CHEM,110-MG,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in CHEM 110-0. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
CHEM 110-SG,CHEM,110-SG,Peer-Guided Study Group: Quantitative Problem Solving in Chemistry,0,"Peer-guided study group for students enrolled in CHEM 110-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
CHEM 131-0,CHEM,131-0,Fundamentals of Chemistry I,1,"Quantum mechanics, electronic structure, periodic properties of elements, chemical bonding, thermodynamics, intermolecular forces, properties of solids and liquids, solutions and colligative properties. 
Prerequisite: CHEM 110-0 (C- or better).
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
CHEM 131-MG,CHEM,131-MG,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in CHEM 131-0. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
CHEM 131-SG,CHEM,131-SG,Peer-Guided Study Group: Fundamentals of Chemistry I,0,"Peer-guided study group for students enrolled in CHEM 131-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
