code,category,number,title,units,desc
CHINESE 111-1,CHINESE,111-1,Chinese I,1,First-quarter course of the beginning college-level sequence to develop basic literacy and oral proficiency in Chinese.
CHINESE 111-2,CHINESE,111-2,Chinese I,1,"Second-quarter course of the beginning college-level sequence to develop basic literacy and oral proficiency in Chinese. 
Prerequisite: grade of at least C- in CHINESE 111-1 or equivalent."
CHINESE 111-3,CHINESE,111-3,Chinese I,1,"Third-quarter course of the beginning college-level sequence to develop basic literacy and oral proficiency in Chinese. 
Prerequisite: grade of at least C- in CHINESE 111-2 or equivalent."
CHINESE 115-1,CHINESE,115-1,Chinese I - Accelerated,1,"First-quarter course of the accelerated beginning college-level sequence to develop basic literacy and oral proficiency in Chinese. 
Prerequisite: consent of department."
CHINESE 115-2,CHINESE,115-2,Chinese I - Accelerated,1,"Second-quarter course of the accelerated beginning college-level sequence to develop basic literacy and oral proficiency in Chinese. 
Prerequisite: grade of at least C- in CHINESE 115-1 or equivalent."
CHINESE 115-3,CHINESE,115-3,Chinese I - Accelerated,1,"Third-quarter course of the accelerated beginning college-level sequence to develop basic literacy and oral proficiency in Chinese. 
Prerequisite: grade of at least C- in CHINESE 115-2 or equivalent."
CHINESE 121-1,CHINESE,121-1,Chinese II,1,"First-quarter course of the second-year Chinese sequence to further develop basic literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 111-3 or equivalent."
CHINESE 121-2,CHINESE,121-2,Chinese II,1,"Second-quarter course of the second-year Chinese sequence to further develop basic literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 121-1 or equivalent."
CHINESE 121-3,CHINESE,121-3,Chinese II,1,"Third-quarter course of the second-year Chinese sequence to further develop basic literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 121-2 or equivalent."
CHINESE 125-1,CHINESE,125-1,Chinese II - Accelerated,1,"First-quarter course of the accelerated intermediate-level sequence with emphasis on reading and writing. 
Prerequisite: grade of at least C- in CHINESE 115-3 or equivalent."
CHINESE 125-2,CHINESE,125-2,Chinese II - Accelerated,1,"Second-quarter course of the accelerated intermediate-level sequence with emphasis on reading and writing. 
Prerequisite: grade of at least C- in CHINESE 125-1 or equivalent."
CHINESE 125-3,CHINESE,125-3,Chinese II - Accelerated,1,"Third-quarter course of the accelerated intermediate-level sequence with emphasis on reading and writing. 
Prerequisite: grade of at least C- in CHINESE 125-2 or equivalent."
CHINESE 211-1,CHINESE,211-1,Chinese III,1,"First-quarter course of the intermediate-level sequence to further develop literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 121-3 or equivalent."
CHINESE 211-2,CHINESE,211-2,Chinese III,1,"Second-quarter course of the intermediate-level sequence to further develop literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 211-1 or equivalent."
CHINESE 211-3,CHINESE,211-3,Chinese III,1,"Third-quarter course of the intermediate-level sequence to further develop literacy and oral proficiency. 
Prerequisite: grade of at least C- in CHINESE 211-2 or equivalent."
CHINESE 212-0,CHINESE,212-0,Chinese in Business Practice 1,1,"Basic business Chinese focused on professional settings. For students interested in using business-related texts to learn Chinese or aspiring to China-focused careers. 
Prerequisite: grade of at least C- in CHINESE 125-2, CHINESE 211-2 or equivalent."
CHINESE 215-1,CHINESE,215-1,Chinese III - Accelerated,1,"First-quarter course of the accelerated intermediate toward advanced-level sequence with emphasis on formal speaking and writing. 
Prerequisite: grade of at least C- in CHINESE 125-3 or equivalent."
CHINESE 215-2,CHINESE,215-2,Chinese III - Accelerated,1,"Second-quarter course of the accelerated intermediate toward advanced-level sequence with emphasis on formal speaking and writing. 
Prerequisite: grade of at least C- in CHINESE 215-1 or equivalent."
CHINESE 215-3,CHINESE,215-3,Chinese III - Accelerated,1,"Third-quarter course of the accelerated intermediate toward advanced-level sequence with emphasis on formal speaking and writing. 
Prerequisite: grade of at least C- in CHINESE 215-2 or equivalent."
CHINESE 311-1,CHINESE,311-1,Chinese IV: Formal Speaking,1,"Development of skills in speaking formal Chinese. 
Prerequisite: grade of at least C- in CHINESE 211-3 or CHINESE 212-0, or equivalent."
