code,category,number,title,units,desc
COG_SCI 110-0,COG_SCI,110-0,Introduction to Cognitive Science,1,"Become familiar with and invested in cognitive science research, focusing on big themes in the study of the mind and mental representation, exemplified by interdisciplinary work conducted at Northwestern University. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
COG_SCI 202-0,COG_SCI,202-0,Evaluating Evidence,1,"Introduction to evaluation of qualitative and quantitative evidence across science, politics, society, health, education, and industry. POLI_SCI 212-0 and COG_SCI 202-0 are taught together; may not receive credit for both courses. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area Social Behavioral Sciences Distro Area"
COG_SCI 207-0,COG_SCI,207-0,Introduction to Cognitive Modeling,1,"Introduction to artificial intelligence and cognitive science. Fundamental questions concerning thinking, language understanding, analogy, commonsense reasoning, education, emotions and consciousness. Formal Studies Distro Area Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
COG_SCI 210-0,COG_SCI,210-0,Language and the Brain,1,"The study of language and its biological basis from linguistic, psychological, and neuroscientific perspectives. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
COG_SCI 211-0,COG_SCI,211-0,"Learning, Representation & Reasoning",1,"Interdisciplinary study of the nature of the mind with emphasis on learning, representation, and reasoning. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
COG_SCI 220-0,COG_SCI,220-0,Selected Topics in Cognitive Science,1,Topics in cognitive science. Content varies. May be repeated for credit with change of topic.
COG_SCI 345-0,COG_SCI,345-0,Presenting Ideas & Data,1,"Understanding principles of cognitive psychology, data visualization, and graphic design to present ideas and data in an engaging, clear, and memorable manner. PSYCH 345-0 and COG_SCI 345-0 are taught together; may not receive credit for both courses. Advanced Expression Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
COG_SCI 366-0,COG_SCI,366-0,Cognitive Science Proseminar,1,Seminar focused on current trends in cognitive science research and discussions with Northwestern cognitive science faculty. For cognitive science majors/minors or with consent of instructor.
COG_SCI 398-1,COG_SCI,398-1,Senior Thesis Seminar,1,Independent research for a senior thesis under the direction of department faculty. By invitation only.
COG_SCI 398-2,COG_SCI,398-2,Senior Thesis Seminar,1,Independent research for a senior thesis under the direction of department faculty. By invitation only.
COG_SCI 399-0,COG_SCI,399-0,Independent Study,1,Faculty-directed research. Consent of instructor required.
