code,category,number,title,units,desc
COMM_ST 101-1,COMM_ST,101-1,Communication in Context: Introduction,1,"Introduction to Communication Studies as a broad and interdisciplinary field, looking at important domains, processes and perspectives for understanding communication phenomena. SOC First-Year Seminar"
COMM_ST 101-2,COMM_ST,101-2,Communication in Context: Analysis & Research,1,"The second course moves beyond the introduction offered in the first course (Communication Studies 101-1 Communication in Context: Introduction) through additional skills training and expanded research and analytic assignments. 
Prerequisites: COMM_ST 101-1.
 SOC First-Year Seminar"
COMM_ST 102-0,COMM_ST,102-0,Public Speaking,1,"Theory, composition, delivery, and criticism of public speeches."
COMM_ST 103-0,COMM_ST,103-0,Argumentation and Debate,1,"Theories of argumentation and debate, with many opportunities for practice. Analysis and evaluation of the discourse related to public controversies."
COMM_ST 159-0,COMM_ST,159-0,Computing Everywhere,0,This course teaches computing literacy to non-technical undergraduate students.
COMM_ST 201-0,COMM_ST,201-0,Research Methods in Comm Studies,1,"Foundations of knowledge in many areas of the field, including the nature of interpersonal interaction and the impact of mass media. How communication researchers do their work; how to judge the quality of research products. Prerequisite for various other courses in the department."
COMM_ST 205-0,COMM_ST,205-0,Theories of Persuasion,1,"Survey of major theories that explain how to change another person's attitudes and behaviors. Applications to persuasion within a variety of contexts, including relationships, organizations, legal campaigns, and the mass culture."
COMM_ST 215-0,COMM_ST,215-0,Principles of Rhetorical Criticism,1,"Introduction to techniques of rhetorical analysis for use in describing, evaluating, and participating in discussions of public issues. Historical and contemporary examples of public discourse illuminate how symbolic action affects decision making and power relations in public life."
COMM_ST 221-0,COMM_ST,221-0,Media & Publics Across Cultures,1,"This course examines communication and culture in an increasingly digital and globalized present, using a combination of theoretical texts and case studies to understand the complex relationship between media and publics around the world."
COMM_ST 225-0,COMM_ST,225-0,Communication and Culture,1,"How the concept of ""culture"" is constituted and disseminated through practices, processes, and mechanisms of ""communication."" Theories of myriad forms of mediation-interpersonal, off-and- online, popular, and mass-mediated-shaping our relationships with ourselves and the world around us."
COMM_ST 227-0,COMM_ST,227-0,Communication & Technology,1,"Examines factors informing and shaping the design of everyday objects and our virtual world; psychological aspects of computer-mediated communication and virtual collaboration, including impression formation, group dynamics, and social networks; social and institutional structures in which human communication is situated. Prerequisite for the Digital Media undergraduate curriculum module."
COMM_ST 228-0,COMM_ST,228-0,AfroFeministFutures,1,"This course invites students to explore Black and feminist speculative fiction as a site for social justice advocacy. Students will read classic feminist and afrofuturist science fiction as they prepare their own original short stories for publication. Drawing heavily on the work of feminist afrofuturist Octavia Butler, students will engage imaginative narratives that allow them to think through solutions to the problems of our time. Students will explore the genre elements of short stories and speculative fiction, ultimately integrating these lessons into their own short stories. This is a writing and reading intensive class."
COMM_ST 241-0,COMM_ST,241-0,Theories of Relational Communication,1,"An overview of communication theories and research dealing with developing, sustaining, and terminating interpersonal relationships. Direct application to friendship, work, and romantic relationships."
COMM_ST 246-0,COMM_ST,246-0,Intro to Health Communication,1,"Introduction to health communication. Key areas of the field, with focus on providers, patients and their families, hospital networks, nonprofit organizations, and government agencies."
COMM_ST 248-0,COMM_ST,248-0,Black Feminist Health Science Studies,1,"Black feminist health science studies is an emergent subfield and critical intervention into a number of intersecting arenas of scholarship and activism. Students in this course will examine important issues in healthcare and science by analyzing some of the foundational assumptions in the field of medicine. We will use contemporary as well as historical moments to investigate the evolution of “scientific truth” and its impact on the U.S. cultural landscape. Students will engage theories that range from explorations of the linguistic metaphors of the immune system, the medicalization of race, to critiques of the sexual binary, all in an effort to uncover some of the beliefs that have become central to science. Students will work to make their learning accessible to people outside the institution by creating podcast episodes that address current issues in this area."
