code,category,number,title,units,desc
COMP_ENG 203-0,COMP_ENG,203-0,Introduction to Computer Engineering,1,"Overview of computer engineering design. Number systems and Boolean algebra. CMOS and logic gates. Design of combinational circuits and simplification. Decoders, multiplexers, adders. Sequential logic and flip flops. Introduction to assembly language."
COMP_ENG 205-0,COMP_ENG,205-0,Fundamentals of Computer System Software,1,"Basics of assembly language programming. Macros. System stack and procedure calls. Techniques for writing assembly language programs. Features of Intel x86 architecture. Interfaces between C and assembly codes. 
Prerequisite: COMP_SCI 111-0 or GEN_ENG 205-1; COMP_ENG 203-0 recommended."
COMP_ENG 295-0,COMP_ENG,295-0,Special Topics in Computer Engineering,1,Topics suggested by students or faculty and approved by the department.
COMP_ENG 303-0,COMP_ENG,303-0,Advanced Digital Design,1,"COMP_ENG 303-0 Advanced Digital Design (1 Unit) 
Prerequisite: COMP_ENG 203-0."
COMP_ENG 329-0,COMP_ENG,329-0,The Art of Multicore Concurrent Programming,1,"COMP_ENG 329-0 The Art of Multicore Concurrent Programming (1 Unit) 
Prerequisite: COMP_SCI 110-0 or COMP_SCI 111-0."
COMP_ENG 334-0,COMP_ENG,334-0,Fundamentals of Blockchains and Decentralization,1,"COMP_ENG 334-0 Fundamentals of Blockchains and Decentralization (1 Unit) 
Prerequisites: COMP_SCI 212-0 or ELEC_ENG 302-0 or equivalent or graduate standing and basic programming skills."
COMP_ENG 346-0,COMP_ENG,346-0,Microcontroller System Design,1,"COMP_ENG 346-0 Microcontroller System Design (1 Unit) 
Prerequisites: COMP_SCI 211-0 and (COMP_ENG 205-0 or COMP_SCI 213-0)."
COMP_ENG 347-1,COMP_ENG,347-1,Microprocessor Systems Project I,1,"COMP_ENG 347-1 Microprocessor Systems Project I (1 Unit) 
Prerequisite: COMP_ENG 346-0."
COMP_ENG 347-2,COMP_ENG,347-2,Microprocessor Systems Project II,1,"COMP_ENG 347-2 Microprocessor Systems Project II (1 Unit) 
Prerequisite: COMP_ENG 347-1."
COMP_ENG 355-0,COMP_ENG,355-0,ASIC and FPGA Design,1,"COMP_ENG 355-0 ASIC and FPGA Design (1 Unit) 
Prerequisite: COMP_ENG 303-0."
COMP_ENG 356-0,COMP_ENG,356-0,Introduction to Formal Specification & Verification,1,COMP_ENG 356-0 Introduction to Formal Specification & Verification (1 Unit)  
