code,category,number,title,units,desc
COMP_LIT 101-7,COMP_LIT,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
COMP_LIT 101-8,COMP_LIT,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
COMP_LIT 200-0,COMP_LIT,200-0,Introduction to Literary Theory,1,"Key topics and debates in literary theory and criticism; how theory actively assists in building literary and cultural comparison across history, language, nation, genre, and medium. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 201-0,COMP_LIT,201-0,Reading World Literature,1,"Introduction to a diverse range of important works of world literature and central debates and questions about the idea of ""world literature."" Content varies. May be repeated for credit with different topic. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 202-0,COMP_LIT,202-0,Interpreting Culture,1,"Introduction to the theory and practice of interpreting ""cultural texts""- the literary and other texts through which human culture imposes structures of meaning on the world. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 205-0,COMP_LIT,205-0,Reading Difference,1,"Introduction to representations of social difference in literature, criticism, film, and media. Selective emphasis on such topics as gender, sexuality, race, ethnicity, species, and ability. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 207-0,COMP_LIT,207-0,Introduction to Critical Theory,1,"Crisis, criticism, and critique in philosophical, political, and cultural contexts. Focus on the philosophical aspects of critical theory with reference to social conditions and art, literary, and/ or political forms. COMP_LIT 207-0 and PHIL 220-0 are taught together; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
COMP_LIT 211-0,COMP_LIT,211-0,Readings in Genre,1,"Analysis of major literary and aesthetic genres, such as epic, sacred texts, drama, lyric, visual media, and narrative. Study of particular examples, with focus on historical development, formal features, and social context. May be repeated for credit with change of topic. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 270-0,COMP_LIT,270-0,Literatures in Translation,1,Focused study of literatures from around the world offered in English translation. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
COMP_LIT 300-0,COMP_LIT,300-0,Theories and Practices of Reading,1,Theories and methods of literary and cultural interpretation. Discussion and readings will prepare students to undertake theoretically grounded projects comparing literature and other forms of cultural expression. Content varies. Literature Fine Arts Distro Area
COMP_LIT 301-0,COMP_LIT,301-0,Studies in World Literature,1,"Exploration of a specific body of literature, criticism, or film that cuts across conventional national or literary historical boundaries. Attention given to critical debates about ""world literature."" Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 302-0,COMP_LIT,302-0,Reading Across Disciplines,1,"Comparative cultural studies across varied media and methodologies. May address literature in relationship to environmental, legal, or public humanities; visual culture and curatorial practice; and music. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 303-0,COMP_LIT,303-0,Movements and Periods,1,"Focused study of intellectual formations belonging to a movement or period, such as Tang Dynasty, Age of Enlightenment, realism, the avant-garde, or post-WWII. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 305-0,COMP_LIT,305-0,"Studies in Film, Media, and Visual Culture",1,"Focused studies in international cinema or visual and other media (e.g. Brazilian documentary, Middle East visual culture, or Bollywood film). Major theoretical issues in film and media studies. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 306-0,COMP_LIT,306-0,Studies in Race & Ethnicity,1,"Representations of comparative race and ethnicity in world literature, criticism, and film. Discussion and theoretical readings address racial and ethnic identity formation, intersection, and difference. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 307-0,COMP_LIT,307-0,"Studies in Gender, Sexuality & Representation",1,"Representations of gender and sexuality in literature, film, and criticism. Global and comparative topics situated in historical, social and political contexts. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 311-0,COMP_LIT,311-0,Theory and Practice of Translation,1,COMP_LIT 311-0 Theory and Practice of Translation (1 Unit)  
COMP_LIT 312-0,COMP_LIT,312-0,Major Authors and Texts,1,"Study of a major author, text, or body of work in terms of its cultural context and critical reception. Content varies. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
COMP_LIT 320-SA,COMP_LIT,320-SA,Critical Theory and Literary Studies,1,"Crisis and critique as they figure in literary and cultural production. This course will examine philosophical texts on critical theory and use them to read literature and the media. This is a Study Abroad course offered through the Paris Program in Critical Theory, Literature, and Media."
COMP_LIT 383-0,COMP_LIT,383-0,Special Topics in Theory: Critical Theory,1,For students with previous study of criticism and literary theory. Content varies. May be repeated for credit with different topic.
COMP_LIT 383-SA,COMP_LIT,383-SA,Special Topics in Theory: Critical Theory,1,For students with previous study of criticism and literary theory. Content varies. May be repeated for credit with different topic.
COMP_LIT 390-0,COMP_LIT,390-0,Special Topics in Comparative Literature,1,"Content varies-for example, problems of literary translation, literature and psychoanalysis. May be repeated for credit with different topic."
COMP_LIT 390-SA,COMP_LIT,390-SA,Special Topics in Comparative Literature,1,"Content varies-for example, problems of literary translation, literature and psychoanalysis. May be repeated for credit with different topic."
COMP_LIT 398-0,COMP_LIT,398-0,Senior Seminar,1,"Tools and techniques for writing sustained scholarly essays. Required of senior majors in comparative literary studies. 
Prerequisite: consent of program adviser."
COMP_LIT 399-0,COMP_LIT,399-0,Independent Study,1,
