code,category,number,title,units,desc
COMP_SCI 101-0,COMP_SCI,101-0,"Computer Science: Concepts, Philosophy, and Connections",1,"General introduction to historical and current intellectual questions in computer science. Theory, systems, artificial intelligence, interfaces, software development, and interactions with business, politics, law, medicine, engineering, and other sciences. Social Behavioral Sciences Distro Area"
COMP_SCI 110-0,COMP_SCI,110-0,Introduction to Computer Programming,1,"Introduction to programming practice using a modern programming language. Analysis and formulation of problems for computer solution. Systematic design, construction, and testing of programs. Substantial programming assignments. Not to be taken for credit with or after COMP_SCI 111-0. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
COMP_SCI 111-0,COMP_SCI,111-0,Fundamentals of Computer Programming,1,"Fundamental concepts of computer programming with heavy emphasis on design of recursive algorithms and test-driven development. Functional, imperative, and object-oriented programming paradigms. Procedural abstraction, data abstraction, and modularity. Required for the computer science degree. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
COMP_SCI 130-0,COMP_SCI,130-0,Tools and Technology of the World-Wide Web,1,"Introduction to the theory and practice of developing sites on and technology for the web. Basics of HTML, JavaScript, ASP, and CGI programming."
COMP_SCI 150-0,COMP_SCI,150-0,Fundamentals of Computer Programming 1.5,1,"An introduction to Object-oriented programming: focus on Python but including a brief introduction to a statically typed language (e.g. C++). Students will use some approaches from Artificial Intelligence and Machine Learning to complete programming assignments. Required for the computer science degree. 
Prerequisite: COMP_SCI 110-0 or COMP_SCI 111-0 or GEN_ENG 205-1 or GEN_ENG 206-1.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
COMP_SCI 211-0,COMP_SCI,211-0,Fundamentals of Computer Programming II,1,"CS 211 teaches foundational software design skills at a small-to-medium scale. We aim to provide a bridge from the student-oriented How to Design Programs languages to real, industry-standard languages and tools. In the first half of the course, you’ll learn the basics of imperative programming and manual memory management using the C programming language. In the second half of the course, we’ll transition to C++, which provides abstraction mechanisms such as classes and templates that we use to express our design ideas. Topics include expressions, statements, types, functions, branches and iteration, user-defined types, data hiding, basic UNIX shell usage, and testing. 
Prerequisite: COMP_SCI 111-0 and COMP_SCI 150-0."
COMP_SCI 212-0,COMP_SCI,212-0,Math Foundations of CS Part 1: Discrete Math for CS,1,"Basic concepts of finite and structural mathematics. Sets, axiomatic systems, the propositional and predicate calculi, and graph theory. Application to computer science: sequential machines, formal grammars, and software design. Syllabus - https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/212.html . 
Prerequisite: CS 110 or CS 111."
COMP_SCI 213-0,COMP_SCI,213-0,Introduction to Computer Systems,1,"The hierarchy of abstractions and implementations that make up a modern computer system; demystifying the machine and the tools used to program it; systems programming in C in the UNIX environment. Preparation for upper-level systems courses. 
Prerequisite: COMP_SCI 211-0."
COMP_SCI 214-0,COMP_SCI,214-0,Data Structures & Algorithms,1,"Design, implementation, and performance analysis of abstract data types; data structures and their algorithms. Topics include fundamental collection classes, tree and graph representations and walks, search trees, sorting, priority queues and heaps, least-cost paths computations, and disjoint-set structures. Required for the computer science degree. 
Prerequisite: COMP_SCI 111 and (COMP_SCI 150 or COMP_SCI 211)."
COMP_SCI 217-0,COMP_SCI,217-0,Data Management & Information Processing,1,"This class offers a hands-on introduction to data representation, data modelling, and the SQL language for accessing and analyzing data in relational databases. Students access and analyze data in real-world large-scale databases from the public domain. Not for computer science or computer engineering degree candidates. 
Prerequisite: COMP_SCI 110-0 or COMP_SCI 111-0 or COMP_SCI 150-0 or COMP_SCI 211-0 or consent of instructor."
COMP_SCI 260-0,COMP_SCI,260-0,Introduction to Law and Digital Technologies,1,"Course summary: This course explores the legal implications of the contemporary technology landscape, including the growth of artificial intelligence, the ecosystem for creating and disseminating digital information, and the challenges of ensuring digital privacy and algorithm equity. The course aims to help students develop a broad, contextualized view of the legal and policy opportunities and challenges associated with rapid technological change. A key goal of the course is for students to acquire the skills to understand, contribute to, and shape the dialog on complex issues at the intersection of technology and law. 
Prerequisites: N/A.
Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
COMP_SCI 262-0,COMP_SCI,262-0,Mathematical Foundations of Computer Science - Part 2,1,"Mathematical Foundations of Computer Science (MFCS) sequence covers mathematical topics of probability, linear algebra, multivariable calculus and basic optimization that are crucial for many areas of modern computer science, including data science and machine learning. Unlike Part I of the MFCS sequence (CS212), this course will focus more on the above areas of continuous mathematics that are useful in computer science. 
Prerequisite: COMP_SCI 212-0 or equivalent (Math 300-0)."
COMP_SCI 295-0,COMP_SCI,295-0,Special Topics in Computer Science,1,Topics suggested by students or faculty and approved by the department.
COMP_SCI 296-0,COMP_SCI,296-0,Intermediate Topics in Computer Science,1,Topics suggested by faculty and approved by the department. Intended to apply toward advanced elective for the computer science major.
COMP_SCI 298-0,COMP_SCI,298-0,CS Research Track Program,1,Topics suggested by faculty and approved by the department. Equivalent to CS 396 but intended to apply toward advanced elective for the computer science major.
COMP_SCI 301-0,COMP_SCI,301-0,Introduction to Robotics Laboratory,1,"Lab-based introduction to robotics, focusing on hardware (sensors/ actuators) and software (sensor processing/behavior development); motion control and planning; artificial intelligence; machine learning. Not open to graduate students except by consent of instructor. 
Prerequisites: COMP_SCI 110 or COMP_SCI 111 or COMP_SCI 150 or MECH_ENG 224, or permission of instructor."
