code,category,number,title,units,desc
CSD 108-0,CSD,108-0,Sound and Communication Health,1,"Introduction to communication sciences and disorders. Role of sound in basic human communication; hearing, speech, language, and learning mechanisms required to process and produce sound; assessment and treatment of disorders caused by a breakdown in sound processing. May not be taken with or after CSD 318-0, CSD 320-0, or CSD 373-0."
CSD 110-0,CSD,110-0,Introduction to Hearing and Speech Acoustics,1,"Introduction to acoustics, measurement of hearing, and the acoustical properties of speech sounds. Sound waves; standards of measuring magnitude; audiograms; source-filter theory; spectrograms."
CSD 112-0,CSD,112-0,The Scientific Exploration of Communication,1,"Introduction to biology and physics of human communication. Basic properties of speech sounds and how they are produced and received; relation between human anatomical structures involved in sound production, modulation, and reception; brain mechanisms of processing speech sounds. Natural Sciences Distro Area"
CSD 202-0,CSD,202-0,Neurobiology of Communication,1,"Human anatomy, physiology, and neurology in relation to communicative behavior. Sensory, perceptual, cognitive, and motor processes. Natural Sciences Distro Area"
CSD 205-0,CSD,205-0,Study of Learning and Learning Problems in the Classroom,1,"Study of children's learning in classroom settings. Field placement, using informal assessments of social, cognitive, and communication functioning, for children with and without exceptionalities."
CSD 207-0,CSD,207-0,Seminar in Communication Sciences & Disorders,1,"Throughout this course, students will consider what it means to be “bilingual,” and explore how bilingualism shapes human communication, including language development and learning, the production and perception of speech, cognitive function, and neural activity, as well as the perceived benefits and pitfalls of bilingualism from a cognitive and educational perspective."
CSD 301-0,CSD,301-0,Anatomy and Physiology of the Vocal Mechanism,1,"Anatomical and physiological mechanisms of breathing, phonation, and articulation. Laboratories include dissection and participation in physiological research. 
Prerequisite: sophomore standing or above.
 Natural Sciences Distro Area"
CSD 302-0,CSD,302-0,Anatomy and Physiology of the Peripheral Hearing Mechanism,1,"CSD 302-0 Anatomy and Physiology of the Peripheral Hearing Mechanism (1 Unit) 
Prerequisites: junior standing or above, CSD 202-0, or consent of instructor.
Natural Sciences Distro Area"
CSD 303-0,CSD,303-0,Brain and Cognition,1,"Neural bases of cognitive processing with emphases on neuroimaging approaches in the areas of encoding, perception, attention, memory, language, reading, motor control, and executive functioning. Taught with Psych 327-0; students may not earn credit for both courses. Interdisciplinary Distro - See Rules Natural Sciences Distro Area Social Behavioral Sciences Distro Area"
CSD 304-0,CSD,304-0,Statistics in Communication Sciences and Disorders,1,Introduction to research design and data analysis in communication sciences and disorders; statistical inference. Formal Studies Distro Area
CSD 305-0,CSD,305-0,Phonetics,1,"Training in transcription of English speech sounds. Introduction to phonological analysis, dynamics of articulation, and dialect variations. Interdisciplinary Distro - See Rules Natural Sciences Distro Area Social Behavioral Sciences Distro Area"
CSD 306-0,CSD,306-0,Psychoacoustics,1,CSD 306-0 Psychoacoustics (1 Unit) Social Behavioral Sciences Distro Area
