code,category,number,title,units,desc
DANCE 101-1,DANCE,101-1,Introduction to Dance Studies,1,"A curricular foundation in critical dance studies: the significance of corporeality/embodiment, critical theories as applied to dance practices, cultural and historical contextual knowledges, movement description and dance analysis."
DANCE 101-2,DANCE,101-2,Dance as Creative Collaboration,1,"Students are introduced to the different ways dance performance materializes: choreography, improvisation, costume, lighting, production design, historical, political and artistic contexts. It will engage in creative and critical problem solving through choreographic thinking, improvisation, and collaborative embodied practice."
DANCE 101-3,DANCE,101-3,Introduction to the Dance Experience,1,"Foundation for further studies in dance technique, science, history, and analysis. Introduction to improvisation: dance and movement improvisation as a tool for developing a personal movement vocabulary."
DANCE 110-0,DANCE,110-0,Movement for the Stage,0.34,"Movement and body awareness. Improvisational techniques using time, space, weight, and effort as the instrument of expression."
DANCE 120-0,DANCE,120-0,Topics in Preparation for Performance,0.34,"Different techniques each quarter to help prepare students for performance. Techniques include Pilates, yoga, Alexander technique, and the Feldenkrais method."
DANCE 130-0,DANCE,130-0,Music Theatre Dance I,0.34,"Music theatre styles, explored through the study of jazz, tap, and modern repertoire. Taken during junior year."
DANCE 140-1,DANCE,140-1,Basic Theatrical Dance I,0.34,"A foundation dance class for theatre, musical theatre and beginning movement students on theatrical dance: alignment, tempo, rhythm, spatial awareness. This course builds progressively with more complex movement phrases and technical specificity. Geared especially to MTCP and Theatre, Performance Studies and Music student who have 0-3 years’ experience in dance."
DANCE 140-2,DANCE,140-2,Basic Theatrical Dance II,0.34,"A foundation dance class for theatre, musical theatre and beginning movement students on theatrical dance: alignment, tempo, rhythm, spatial awareness. This course builds progressively with more complex movement phrases and technical specificity. Geared especially to MTCP and Theatre, Performance Studies and Music student who have 0-3 years’ experience in dance."
DANCE 140-3,DANCE,140-3,Basic Theatrical Dance III,0.34,"A foundation dance class for theatre, musical theatre and beginning movement students on theatrical dance: alignment, tempo, rhythm, spatial awareness. This course builds progressively with more complex movement phrases and technical specificity. Geared especially to MTCP and Theatre, Performance Studies and Music student who have 0-3 years’ experience in dance."
DANCE 150-0,DANCE,150-0,Modern/Contemporary I,0.34,"Offered at levels I, II, and III each quarter to develop skills pertaining to modern/contemporary techniques. Higher levels progress more rapidly with a greater level of complexity, as class work focuses on a wider range of qualities and aesthetics. Style of modern technique varies with each instructor."
DANCE 160-0,DANCE,160-0,Dances of the African Diaspora I,0.34,"Offered at levels I, II, and III to expose students to a variety of techniques that come from Black diasporic practices which may include: jazz, tap, hip-hop, West African, Afro-contemporary. Style of technique varies with each instructor."
DANCE 161-0,DANCE,161-0,Jump Rhythm Technique 1,0.34,"Offered at levels I and II. Dancing rhythmically-using jazz rhythms and the syncopated rhythms of funk, hip-hop, and other rock-based music to generate all dance movement."
