code,category,number,title,units,desc
ECON 100-BR,ECON,100-BR,Introduction to Problem-Solving in Economics,0.5,"For participants in Bridge I summer program. Developing facility with quantitative tools to solve problems in Economics. 
Prerequisites: MATH 100-BR and HUM 100-1-BR."
ECON 101-7,ECON,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ECON 101-8,ECON,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ECON 159-0,ECON,159-0,Doing Good,1,"A discussion of why we want to “do good”; how to try to do good (and why problems exist in the first place); and, how to know if you did good. Applications to public policy as well as personal life. Prerequisities: None. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ECON 201-0,ECON,201-0,Introduction to Macroeconomics,1,"An introduction to economics with emphasis on macroeconomics. Topics include: scarcity and choice, elements of supply and demand, inflation, unemployment, recessions, booms, fiscal and monetary policy, international balance of payments, and budget deficits. 
Prerequisite: basic algebra and graphing.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ECON 201-MG,ECON,201-MG,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in ECON 201. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
ECON 201-SG,ECON,201-SG,Peer-Guided Study Group: Introduction to Macroeconomics,0,"Peer-guided study group for students enrolled in ECON 201-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
ECON 202-0,ECON,202-0,Introduction to Microeconomics,1,"An introductory course on the fundamentals of microeconomics. The behavior of individuals and firms in deciding on prices and allocation of scarce resources. Topics include: consumer preferences, costs of production, equilibrium prices and output, different market types, potential market failures, and the role of government interventions and public policy. 
Prerequisite: ECON 201-0.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ECON 202-MG,ECON,202-MG,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in ECON 202-0. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
ECON 202-SG,ECON,202-SG,Peer-Guided Study Group: Introduction to Microeconomics,0,"Peer-guided study group for students enrolled in ECON 202-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
ECON 249-0,ECON,249-0,Business Strategy,1,"Firms' choices of prices, capacity, location, quality, variety, investment and product innovation when navigating complex economic environments shaped by government policy and inter-firm rivalries. (Majors and Minors should not take this course, but should take ECON 349-0 instead. Students may not receive credit if they have completed ECON 349-0). 
Prerequisites: ECON 202-0; MATH 220-1."
ECON 281-0,ECON,281-0,Introduction to Applied Econometrics,1,"An introduction to econometrics. The underlying theory of regression and the practical application of these techniques to data sets. Understanding and diagnosing common statistical problems encountered during estimation. All other substitutions (including AP Statistics) must be cleared through the Director of Undergraduate Studies for Economics. 
Prerequisite: ECON 201-0, ECON 202-0, MATH 220-1, STAT 210-0 or higher level statistics class."
ECON 307-0,ECON,307-0,Economics of Medical Care,1,"ECON 307-0 Economics of Medical Care (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 308-0,ECON,308-0,Money and Banking,1,"ECON 308-0 Money and Banking (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 311-0."
ECON 309-0,ECON,309-0,Public Finance,1,"ECON 309-0 Public Finance (1 Unit) 
Prerequisites: ECON 281-0, ECON 310-1, ECON 310-2."
ECON 310-1,ECON,310-1,Microeconomics,1,"ECON 310-1 Microeconomics (1 Unit) 
Prerequisites: ECON 201-0, ECON 202-0, MATH 220-1.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ECON 310-2,ECON,310-2,Microeconomics,1,"ECON 310-2 Microeconomics (1 Unit) 
Prerequisite: ECON 310-1."
ECON 310-MG-1,ECON,310-MG-1,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in ECON 310-1. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
ECON 310-MG-2,ECON,310-MG-2,Mentored Study Program,0,"Study sessions facilitated by undergraduate peer leaders, for students enrolled in ECON 310-2. Meets weekly in small groups to collaboratively review material, solve practice problems, clarify concepts, and enhance study strategies. Enrollment optional. Graded S/U."
ECON 310-SG-1,ECON,310-SG-1,Peer-Guided Study Group: Microeconomics I,0,"Peer-guided study group for students enrolled in ECON 310-1.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
ECON 310-SG-2,ECON,310-SG-2,Peer-Guided Study Group: Microeconomics II,0,"Peer-guided study group for students enrolled in ECON 310-2.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
