code,category,number,title,units,desc
ENGLISH 100-SW,ENGLISH,100-SW,Summer Academic Workshop in Writing,1,"An introduction to college writing. Students learn how to use a process of planning, drafting, revising, and editing to write papers that are clear, concise, interesting, and persuasive."
ENGLISH 101-7,ENGLISH,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ENGLISH 101-8,ENGLISH,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ENGLISH 105-0,ENGLISH,105-0,Expository Writing,1,"Emphasizes all phases of the composition process, research methods, and critical thinking. Careful review of student papers and reports. May be repeated for credit with different topic."
ENGLISH 105-7,ENGLISH,105-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ENGLISH 105-8,ENGLISH,105-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ENGLISH 106-1,ENGLISH,106-1,Writing in Special Contexts,0.5,Introduction to expository writing similar to ENGLISH 105-0 but paired with a course in another discipline.
ENGLISH 106-2,ENGLISH,106-2,Writing in Special Contexts,0.5,Introduction to expository writing similar to ENGLISH 105-0 but paired with a course in another discipline.
ENGLISH 200-0,ENGLISH,200-0,Literary Histories,1,"Content varies, but all versions of this course engage with at least 200 years of literature from a particular tradition, genre, or theme, with an emphasis on literary history and narratives of continuity and change over time. Suitable for majors and non-majors. No prior knowledge of the field is expected. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
ENGLISH 202-0,ENGLISH,202-0,Introduction to Creative Writing,1,"Forms and techniques of poetry, fiction, and creative nonfiction."
ENGLISH 205-0,ENGLISH,205-0,Intermediate Composition,1,"Expository writing at an intermediate level. Emphasis on techniques for writing clearly, precisely, and persuasively. May be repeated for credit with different topic."
ENGLISH 206-0,ENGLISH,206-0,Reading & Writing Poetry,1,Forms and techniques of verse. May not be taken earlier than winter quarter of the first year. Seniors may enroll only with department consent.
ENGLISH 207-0,ENGLISH,207-0,Reading and Writing Fiction,1,Forms and techniques of fiction.
ENGLISH 208-0,ENGLISH,208-0,Reading & Writing Creative Non-Fiction,1,Forms and techniques of creative nonfiction.
ENGLISH 209-0,ENGLISH,209-0,Topics in Genre Writing,1,"Forms and techniques of genre writing (e.g., screenwriting, young adult fiction, adaptation, memoir). May be repeated for credit with different topic."
