code,category,number,title,units,desc
GBL_HLTH 201-0,GBL_HLTH,201-0,Introduction to Global Health,1,"Introduces students to pressing disease and health care problems worldwide. The course identifies the main actors, institutions, practices, and forms of knowledge production characteristic of what we call ""global health"" today, and explores the factors that shape patterns and experiences of illness and healthcare across societies. Global Perspectives on Power, Justice, and Equity Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
GBL_HLTH 221-0,GBL_HLTH,221-0,"Beyond Porn: Sexuality, Health and Pleasure",1,"This lecture course goes beyond how sex and pleasure are depicted in pornography and popular culture, to equip students with information leading to more satisfying and healthy sexual experiences across their lifespan, regardless of how they identify, or who or what they like. The course familiarizes students with a wide spectrum of human identities, practices, and attitudes towards sex and sexuality. GBL_HLTH 221-0 and GNDR_ST 221-0 are taught together; may not receive credit for both. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
GBL_HLTH 222-0,GBL_HLTH,222-0,The Social Determinants of Health,1,"Advanced introduction to socioeconomic, political, and cultural determinants of health disparities between social groups and categories. Case studies from the United States, South Africa, and Brazil. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
GBL_HLTH 302-0,GBL_HLTH,302-0,Global Bioethics,1,"GBL_HLTH 302-0 Global Bioethics (1 Unit) Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
GBL_HLTH 303-0,GBL_HLTH,303-0,(Re)mixing Qualitative Methods,1,"This course covers traditional and alternative data collection methods for public health research, with a focus on self-determination approaches used by Black/African American individuals. It promotes inclusivity in data collection and explores how individuals living in Black bodies navigate life and exercise agency in the face of systemic oppression. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
GBL_HLTH 306-0,GBL_HLTH,306-0,Biomedicine and Culture,1,"Comparative exploration of biomedical cultures in different contexts, both in the U.S. and other countries. This course covers how biomedicine intersects with technology, consumerism, politics, economics, culture, power, and place. It further investigates the possibilities and limitations of biomedicine across the globe, particularly regarding how biomedical cultures affect and are affected by patients and health care workers. Global Perspectives on Power, Justice, and Equity Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
GBL_HLTH 307-0,GBL_HLTH,307-0,International Perspectives on Mental Health,1,Cross-cultural and international perspectives on mental health issues and examination of the impact of psychological illness on the global burden of disease. Social Behavioral Sciences Distro Area
GBL_HLTH 309-0,GBL_HLTH,309-0,Biomedicine and World History,1,"Course covers four centuries, focusing especially on the power of disease and the limits of global health governance. It explains how different medical professions became dominant, why drug industries secured monopolies, and what effects these changes had on other medical cultures. GBL_HLTH 309-0 and HISTORY 379-0 are taught together; may not receive credit for both courses. Advanced Expression Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
GBL_HLTH 310-1,GBL_HLTH,310-1,Supervised Global Health Research,1,"Majors and minors are encouraged to do supervised public health research on campus and abroad. Students receive elective credit for this course only when taught abroad, however."
GBL_HLTH 310-SA,GBL_HLTH,310-SA,Supervised Global Health Research,1,"Majors and minors are encouraged to do supervised public health research on campus and abroad. Students receive elective credit for this course only when taught abroad, however."
