code,category,number,title,units,desc
GEN_LA 100-BR,GEN_LA,100-BR,Exploring the Liberal Arts,0.5,"For participants in Bridge I summer program. This course will preview the curriculum offered by Weinberg College, highlighted by lectures from faculty in different departments, and explain the distribution requirements in the College as well as the value of a broad liberal arts curriculum."
GEN_LA 111-1,GEN_LA,111-1,Introductory Topics in Language Study I,1,Registration for students studying a foreign language through CourseShare at the introductory level.  Permission required in advance.
GEN_LA 111-2,GEN_LA,111-2,Introductory Topics in Language Study II,1,Registration for students studying a foreign language through CourseShare at the introductory level. Permission required in advance.
GEN_LA 111-3,GEN_LA,111-3,Introductory Topics in Language Study III,1,Registration for students studying a foreign language through CourseShare at the introductory level. Permission required in advance.
GEN_LA 114-0,GEN_LA,114-0,Internship,0,Restricted to Weinberg College students who need documentation of an internship on their transcripts. Requires approval of the associate dean for undergraduate academic affairs. Contact college advisers for more information.
GEN_LA 121-1,GEN_LA,121-1,Intermediate Topics in Language Study I,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
GEN_LA 121-2,GEN_LA,121-2,Intermediate Topics in Language Study II,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
GEN_LA 121-3,GEN_LA,121-3,Intermediate Topics in Language Study III,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance. Does not automatically satisfy the Weinberg College foreign language proficiency requirement.
GEN_LA 131-1,GEN_LA,131-1,Advanced Topics in Language Study I,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
GEN_LA 131-2,GEN_LA,131-2,Advanced Topics in Language Study II,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
GEN_LA 131-3,GEN_LA,131-3,Advanced Topics in Language Study III,1,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
GEN_LA 132-0,GEN_LA,132-0,Advanced Topics in Language Study,0,Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance.
