code,category,number,title,units,desc
HEBREW 111-1,HEBREW,111-1,Hebrew I,1,"This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing. 
Prerequisite: None or one year of high-school Hebrew or placement test results."
HEBREW 111-2,HEBREW,111-2,Hebrew I,1,"This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing. 
Prerequisite: HEBREW 111-1 or equivalent."
HEBREW 111-3,HEBREW,111-3,Hebrew I,1,"This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing. 
Prerequisite: HEBREW 111-2 or equivalent."
HEBREW 121-1,HEBREW,121-1,Hebrew II,1,"This sequence further develops speaking, listening comprehension, reading, and writing skills in Hebrew. Offers insights into Hebrew culture and history through written and audiovisual materials. 
Prerequisite: HEBREW 111-3 or equivalent."
HEBREW 121-2,HEBREW,121-2,Hebrew II,1,"This sequence further develops speaking, listening comprehension, reading, and writing skills in Hebrew. Offers insights into Hebrew culture and history through written and audiovisual materials. 
Prerequisite: HEBREW 121-1 or equivalent."
HEBREW 121-3,HEBREW,121-3,Hebrew II,1,"This sequence further develops speaking, listening comprehension, reading, and writing skills in Hebrew. Offers insights into Hebrew culture and history through written and audiovisual materials. 
Prerequisite: HEBREW 121-2 or equivalent."
HEBREW 211-0,HEBREW,211-0,Hebrew III: Language and Culture,1,"Introduction to and practice of intermediate and advanced grammatical concepts in Hebrew through authentic cultural texts and current media sources. The course focuses on speaking, listening comprehension, reading, and writing skills. 
Prerequisite: HEBREW 121-3."
HEBREW 216-1,HEBREW,216-1,Hebrew III:Topics in Hebrew Literature,1,"Hebrew language, literature, and culture. Material includes authentic written and audiovisual material such s films, TV shows, newspaper articles and literary pieces. Review of more complex grammar including the development of reading, writing, and speaking skills. 
Prerequisite: HEBREW 121-3 or equivalent.
Literature Fine Arts Distro Area"
HEBREW 216-2,HEBREW,216-2,Hebrew III: Topics in Hebrew Literature,1,"Hebrew language, literature, and culture. Material includes authentic written and audiovisual material such s films, TV shows, newspaper articles and literary pieces. Review of more complex grammar including the development of reading, writing, and speaking skills. 
Prerequisite: HEBREW 121-3 or equivalent.
Literature Fine Arts Distro Area"
HEBREW 216-3,HEBREW,216-3,Hebrew III: Topics in Hebrew Literature,1,"Hebrew language, literature, and culture. Material includes authentic written and audiovisual material such s films, TV shows, newspaper articles and literary pieces. Review of more complex grammar including the development of reading, writing, and speaking skills. 
Prerequisite: HEBREW 121-3 or equivalent.
Literature Fine Arts Distro Area"
HEBREW 245-0,HEBREW,245-0,Current Events in Israel: Israeli Society through Online News Media,1,"This course focuses on current events in Israel through in-depth exploration of online news media sources such as foreign newspaper articles and videos. Students will gain respect for alternative ideas and diversity of views and learn how news and public opinion are chosen, disseminated, shared. The course focuses on reading, listening, discussion and on building a comprehensive Hebrew vocabulary. 
Prerequisite: HEBREW 121-3 or permission of the instructor. May be repeated for credit with different topic."
HEBREW 316-1,HEBREW,316-1,Hebrew IV: Advanced Topics in Hebrew Literature,1,"Literature Reading 20th-century Hebrew literature. Presentations, discussion, and essays in Hebrew. 
Prerequisite: Three Hebrew courses at the 200-level or consent of instructor.
Literature Fine Arts Distro Area"
HEBREW 316-2,HEBREW,316-2,Hebrew IV: Advanced Topics In Hebrew Literature,1,"Literature Reading 20th-century Hebrew literature. Presentations, discussion, and essays in Hebrew. 
Prerequisite: Three Hebrew courses at the 200-level or consent of instructor.
Literature Fine Arts Distro Area"
HEBREW 316-3,HEBREW,316-3,Hebrew IV: Advanced Topics in Hebrew Literature,1,"Literature Reading 20th-century Hebrew literature. Presentations, discussion, and essays in Hebrew. 
Prerequisite: Three Hebrew courses at the 200-level or consent of instructor.
Literature Fine Arts Distro Area"
HEBREW 399-0,HEBREW,399-0,Independent Study,1,"For students who have advanced with distinction beyond the regular course offerings in Hebrew. 
Prerequisite: consent of instructor."
