code,category,number,title,units,desc
HISTORY 101-7,HISTORY,101-7,College Seminar - European History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 101-8,HISTORY,101-8,First-Year Writing Seminar - European History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 102-7,HISTORY,102-7,College Seminar - American History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 102-8,HISTORY,102-8,First-Year Writing Seminar - American History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 103-7,HISTORY,103-7,College Seminar - Non-Western History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 103-8,HISTORY,103-8,First-Year Writing Seminar - Non-Western History,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
HISTORY 200-0,HISTORY,200-0,New Introductory Courses in History,1,Introductory lecture courses on topics not covered in regular offerings. Content varies. May be repeated for credit with different topic. Historical Studies Distro Area Historical Studies Foundational Discipline
HISTORY 201-1,HISTORY,201-1,Europe in the Medieval and Early Modern World,1,"This course introduces majors and non-majors to the history of Europe from roughly 1000-1800. The eight centuries between the medieval Crusades and the Age of Atlantic Revolutions profoundly changed the course of Europe’s history, and the world’s. Topics include: the Crusades, the Black Death, the Renaissance, the Reformations, the Scientific Revolution, colonialism, slavery, and the origins of capitalism. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
HISTORY 201-2,HISTORY,201-2,Europe in the Modern World,1,"This course examines the years from 1750 onward, when European events determined the course of world history. We will ask why Europe came to dominate the globe, considering especially industrialization, revolution, and imperial expansion. We will investigate, too, how these apparent triumphs paved the way for subsequent catastrophes, including the world wars, the Holocaust, violent decolonization, and the Cold War. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
HISTORY 203-1,HISTORY,203-1,Jewish History I: 750-1492,1,"Surveys the development of Jewish culture and civilization in the medieval period, and traces the ways in which Jewish culture, thought, and socio-political life developed in dialogue with contemporaneous Christian and Islamic societies. Goals include grappling with how historians use primary documents to reconstruct Jewish history, and learning to read works of historical interpretation with a careful and critical eye. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
HISTORY 203-2,HISTORY,203-2,"Jewish History II: Early Modern, 1492-1789",1,Jewish community's economic and cultural reshaping; legalized readmission of Jews to European cities and integration into European society. Historical Studies Distro Area
HISTORY 203-3,HISTORY,203-3,Jewish History III: 1789-1948,1,"Plurality of models of integration, acculturation, and assimilation; multiple identities; split of traditional community; sociocultural behavior; political movements. Historical Studies Distro Area"
HISTORY 210-1,HISTORY,210-1,North America and the United States to 1865,1,"The setting: North America, 1400 to 1865. The characters: Indigenous, African, European, Asian, and their descendants; enslaved, free, and in-between; genders of all kinds. The plot: full of tragedy and triumph and terror and twists, including the surprising emergence of the United States, the world’s first modern republican empire, trumpeting inalienable rights and the pursuit of happiness while spreading slavery. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 210-2,HISTORY,210-2,"History of the United States, Reconstruction to the Present",1,"Interpretative survey from the 17th century to the present. Reconstruction to the present. Lectures, discussion sections. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 211-0,HISTORY,211-0,American Wars,1,"This new lecture course views the United States, its peoples, and its place in the world through the prism of war. It begins in colonial North America and continues to the present day. No prerequisites or prior knowledge are required; all students are welcome. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 212-1,HISTORY,212-1,Introduction to African-American History: Key concepts from 1700-1861,1,"African origins, the slave trade, origins of slavery and racism in the United States, life under slavery in the North and the South. BLK_ST and HISTORY 212-1 are taught together; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 212-2,HISTORY,212-2,Introduction to African American History: Emancipation to Civil Rights Movement,1,"Emancipation to the civil rights era. Reconstruction, rise of legal segregation, strategies of resistance, migration, and urbanization. BLK_ST 212-2 and HISTORY 212-2 are taught together; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 214-0,HISTORY,214-0,Asian American History,1,"Introduction to the history of Asians in the United States, with a focus on their impact on American society as well as their experiences within the United States. ASIAN_AM 214-0 and HISTORY 214-0 are taught together; may not receive credit for both courses. Historical Studies Distro Area"
HISTORY 215-0,HISTORY,215-0,History of the American Family,1,"This course traces the evolution of family ideals and practices from pre-colonial through modern America, with a particular emphasis on the roles of gender, race, and class in shaping family experiences. Historical Studies Distro Area Historical Studies Foundational Discipline Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
HISTORY 216-0,HISTORY,216-0,Global Asians,1,"Survey of Asian diasporas in the United States and elsewhere in the 19th and 20th centuries, emphasizing causes of migration, process of settlement, relations with other ethnic groups, and construction of diasporic identities. ASIAN_AM 216-0 and HISTORY 216-0 are taught together; may not receive credit for both courses. Historical Studies Distro Area"
HISTORY 218-0,HISTORY,218-0,The History of Latinas and Latinos in the United States,1,"In this course, we will explore the 500-year history of Latinos in the United States—and, indeed, across the Americas—from the 16th century through the early 21st century. In its broadest sense, Latino History offers a reinterpretation of United States history that focuses on race, migration, labor, and empire. HISTORY 218-0 and LATINO 218-0 are taught together; may not receive credit for both courses. Historical Studies Distro Area"
HISTORY 219-0,HISTORY,219-0,History of the Present,1,"How do historians read the news? This course takes a backward approach to the study of history, beginning by identifying issues relevant to the current moment and then exploring some of the longer histories required to understand the present. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 220-0,HISTORY,220-0,History of the Future,1,"This course examines how the people of the past imagined their future—so we can better consider our own. We will study a range of predictive techniques: from Mesopotamian astrology to new computation methods, like climate science. And we will analyze “grand narratives” of progress, like capitalism, eugenics, and economic development. Come explore the alternative worlds of futures past. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
HISTORY 221-0,HISTORY,221-0,Famous American Trials,1,"Course explores several famous American trials to examine key themes in American political, legal, social, economic, and cultural history. We will focus largely on the twentieth century—a period of multiple “Trials of the Century” —to see how each trial crystallized broader political and social tensions over ethnicity, gender, race, religion, politics, sexuality, and social status. LEGAL_ST 221-0 and HISTORY 221-0 are taught together; may not receive credit for both. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
HISTORY 248-0,HISTORY,248-0,Global Legal History,1,"This course examines four aspects of global legal history: 1) the imperial roots of international legal regimes and global governance; 2) the transnational history of laws on corporations and intellectual property; 3) the evolution of ideas about personhood and citizenship, including slavery, indigeneity, and artificial intelligence; and 4) the role of state borders and military monopolies. HISTORY 248-0 and LEGAL_ST 248-0 are taught together; may not receive credit for both. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Social and Behavioral Science Foundational Discipl"
HISTORY 249-0,HISTORY,249-0,The End of Citizenship,1,"This course explores what makes people think, feel and act like citizens across the world and in spaces stretching from polling booths to bowling leagues. It focuses on the ends of citizenship, understood in two ways: as the goals of people who are or would be citizens, and as the processes through which those peoples’ citizenship can be terminated. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
