code,category,number,title,units,desc
HUM 100-1-BR,HUM,100-1-BR,Introduction to Critical Thinking in the Humanities and Social Sciences,0.5,For participants in Bridge I summer program.  Commonalities and distinguishing features of critical thinking in humanities and social sciences. Emphasis on analysis and argumentation.  Taken with MATH 100-BR.
HUM 100-2-BR,HUM,100-2-BR,Topics in Research,0.5,"For participants in Bridge summer program. Research questions, beginning research, and related skills in humanities or social sciences."
HUM 101-6,HUM,101-6,College Seminar,1,"Part of a two-course exploration of the humanities for first-year students selected into the Kaplan Humanities Scholars Program. This team-taught program—lecture + small coordinated seminar—is designed to challenge students to integrate a variety of intellectual methods to probe the qualitative aspects of human experience. Course topics and instructors change each year. The seminar section (2 days/week) is HUM 101-6 and the paired lecture section (2 days/week) is HUM 210-0, HUM 211-0, HUM 212-0, or HUM 213-0. 
Prerequisite: This course is reserved for first-year students of the Kaplan Humanities Scholars Program."
HUM 105-0,HUM,105-0,The Humanities Plunge,0.5,A half-credit course over spring break immersing students in Chicago's cultural riches. Events and tours are introduced and contextualized by field experts. Enrollment in the Plunge is by application.
HUM 205-0,HUM,205-0,The World of Homer,1,"Introduction to the history and material culture of Iron Age Greece. Society, economy, art, and archaeology of the Greek world that gave rise to the Homeric epic. CLASSICS 210-0 and HUM 205-0 are taught together; may not receive credit for both courses. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area"
HUM 210-0,HUM,210-0,Humanities in the World I,1,"Part of a two-course exploration of the humanities for first-year students selected into the Kaplan Humanities Scholars Program. This team-taught program—lecture + small coordinated seminar—is designed to challenge students to integrate a variety of intellectual methods to probe the qualitative aspects of human experience. Course topics and instructors change each year. The seminar section (2 days/week) is HUM 101-6 and the paired lecture section (2 days/week) is HUM 210-0, HUM 211-0, HUM 212-0, or HUM 213-0. 
Prerequisite: This course is reserved for first-year students of the Kaplan Humanities Scholars Program.
Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
HUM 211-0,HUM,211-0,Humanities in the World II,1,"Part of a two-course exploration of the humanities for first-year students selected into the Kaplan Humanities Scholars Program. This team-taught program—lecture + small coordinated seminar—is designed to challenge students to integrate a variety of intellectual methods to probe the qualitative aspects of human experience. Course topics and instructors change each year. The seminar section (2 days/week) is HUM 101-6 and the paired lecture section (2 days/week) is HUM 210-0, HUM 211-0, HUM 212-0, or HUM 213-0. 
Prerequisite: This course is reserved for first-year students of the Kaplan Humanities Scholars Program.
 Historical Studies Distro Area Historical Studies Foundational Discipline"
HUM 212-0,HUM,212-0,Humanities in the World III,1,"Part of a two-course exploration of the humanities for first-year students selected into the Kaplan Humanities Scholars Program. This team-taught program—lecture + small coordinated seminar—is designed to challenge students to integrate a variety of intellectual methods to probe the qualitative aspects of human experience. Course topics and instructors change each year. The seminar section (2 days/week) is HUM 101-6 and the paired lecture section (2 days/week) is HUM 210-0, HUM 211-0, HUM 212-0, or HUM 213-0. 
Prerequisite: This course is reserved for first-year students of the Kaplan Humanities Scholars Program.
 Ethical and Evaluative Thinking Foundational Disci"
HUM 213-0,HUM,213-0,Humanities in the World IV,1,"Part of a two-course exploration of the humanities for first-year students selected into the Kaplan Humanities Scholars Program. This team-taught program—lecture + small coordinated seminar—is designed to challenge students to integrate a variety of intellectual methods to probe the qualitative aspects of human experience. Course topics and instructors change each year. The seminar section (2 days/week) is HUM 101-6 and the paired lecture section (2 days/week) is HUM 210-0, HUM 211-0, HUM 212-0, or HUM 213-0. 
Prerequisite: This course is reserved for first-year students of the Kaplan Humanities Scholars Program.
 Social and Behavioral Science Foundational Discipl"
HUM 220-0,HUM,220-0,"Health, Biomedicine, Culture, and Society",1,"Broad introduction to controversies surrounding health and biomedicine by analyzing culture, politics, values, and social institutions. HUM 220-0 and SOCIOL 220-0 are taught together; may not receive credit for both courses. Ethics Values Distro Area Interdisciplinary Distro - See Rules Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
