code,category,number,title,units,desc
ITALIAN 101-1,ITALIAN,101-1,Elementary Italian,1,"Emphasis on oral communication, supported by grammar, writing, reading, and listening. Four class meetings a week. 
Prerequisite: none."
ITALIAN 101-2,ITALIAN,101-2,Elementary Italian,1,"Emphasis on oral communication, supported by grammar, writing, reading, and listening. Four class meetings a week. 
Prerequisite: Grade of at least C- in ITALIAN 101-1 or Department placement."
ITALIAN 101-3,ITALIAN,101-3,Elementary Italian,1,"Emphasis on oral communication, supported by grammar, writing, reading, and listening. Four class meetings a week. 
Prerequisite: Grade of at least C- in ITALIAN 101-2 or Department placement."
ITALIAN 102-1,ITALIAN,102-1,Intermediate Italian,1,"Grammar review, conversation, composition, and readings in modern prose and drama. Four class meetings a week. 
Prerequisite: ITALIAN 101-3 or equivalent."
ITALIAN 102-2,ITALIAN,102-2,Intermediate Italian,1,"Grammar review, conversation, composition, and readings in modern prose and drama. Four class meetings a week. 
Prerequisite: Grade of at least a C- in ITALIAN 102-1 or Department placement."
ITALIAN 102-3,ITALIAN,102-3,Intermediate Italian,1,"Grammar review, conversation, composition, and readings in modern prose and drama. Four class meetings a week. 
Prerequisite: Grade of at least C- in ITALIAN 102-2 or Department placement."
ITALIAN 103-1,ITALIAN,103-1,Italian for Musicians,1,"Italian language course for musicians, focusing on developing comprehension and pronunciation skills for operatic performance. Analysis of libretti and scores of Italian operas. 
Prerequisite: Grade of at least C- in ITALIAN 101-2 or Department placement."
ITALIAN 105-7,ITALIAN,105-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ITALIAN 105-8,ITALIAN,105-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ITALIAN 106-0,ITALIAN,106-0,Italian for Research,0,ITALIAN 106-0 Italian for Research (0 Unit)  
ITALIAN 110-0,ITALIAN,110-0,Italian in the Business World,1,Italian language course with an emphasis on communication and a cultural focus on business and its practices.
