code,category,number,title,units,desc
JOUR 190-BR,JOUR,190-BR,Bridge Program,1,This course will introduce you to the fundamentals of journalistic reporting and writing while simultaneously considering the role news plays in forming narratives around race and difference.
JOUR 201-1,JOUR,201-1,Fundamentals of Reporting & Writing News,1,This course emphasizes the critical practices of ethical journalism and deadline reporting and writing and builds a strong foundation for all Medill classes. It introduces students to the essentials of accurate journalism regardless of platform or storytelling format.
JOUR 201-2,JOUR,201-2,Fundamentals of Video Journalism,1,"This course puts into practice the strong journalism concepts discussed in JOUR 202-0 and creates a base of fundamentals needed for effective, relevant and engaging storytelling for specific audiences using video as the centered platform."
JOUR 202-0,JOUR,202-0,"Journalism Values, Practice & Trends",1,"This course focuses on the evolving relationship between today’s news media landscape and its consumers. Students learn fundamental theories of human behavior and media consumption in order to understand new technologies, content opportunities, and relationship-building with journalism audiences."
JOUR 291-0,JOUR,291-0,Intro to Podcasting,1,"This class is designed for fans of narrative podcasts who have a lot of passion, but little to no practical experience in the audio form. You'll learn not only how to plan, record, edit, and mix audio, but also how to find and shape the kinds of stories that you love so much on This American Life, Serial, Radiolab, 99 Percent Invisible, and other narrative-based shows. 
Prerequisite: Medill sophomore standing."
JOUR 292-0,JOUR,292-0,Sports Marketing for Non-Majors,1,"Students will develop an understanding of marketing through the lens of sports and will consider the spectrum of sports marketing, from brands that use sports to capture the attention of customers to teams who want fans to buy season tickets. No journalism or marketing experience required."
JOUR 301-0,JOUR,301-0,Journalism in Practice,1,"Practice of reporting, editing, and storytelling skills through topical writing and research assignments. Learning to develop diverse sources and incorporate audio, visual, and multimedia elements for news, magazine, and other audiences. Readings, discussion, and experiential opportunities. 
Prerequisites: JOUR 201-1, JOUR 201-2 and Medill sophomore standing."
JOUR 301-1,JOUR,301-1,Journalism in Practice,0.5,"Practice of reporting, editing, and storytelling skills through topical writing and research assignments. Learning to develop diverse sources and incorporate audio, visual, and multimedia elements for news, magazine, and other audiences. By application. 
Prerequisites: JOUR 201-1, JOUR 201-2 and Medill sophomore standing."
JOUR 302-0,JOUR,302-0,Media History,1,"This course will explore how media history has influenced the world we live in today. Students will examine who has had the power and ability to tell the stories that shape people’s lives, who has consumed those stories, who has been affected by the stories and whose stories have been neglected or distorted. 
Prerequisites: JOUR 201-1, JOUR 201-2 and Medill sophomore standing."
JOUR 303-0,JOUR,303-0,Framed: Media and the Marginalized,1,"Through discussion of principles of media professionalism and ethics, and an examination of some of the hot topics featured in today’s headlines, this course will set a framework for recognizing and analyzing media narrative framing, as well as the representation of traditionally marginalized groups within that narrative frame.  Ultimately, we will develop a deeper appreciation of media responsibility."
JOUR 304-0,JOUR,304-0,Global Journalism History,1,"This course expands the understanding of journalism beyond your own country’s borders and experiences to examine the historical development, values and practices across regions throughout the world."
JOUR 305-0,JOUR,305-0,JOURneys,0.5,"Students will explore the worldwide media landscape with these short-term, faculty-led programs designed to provide a window into global media outlets and fascinating international news stories. Includes required course travel."
JOUR 306-0,JOUR,306-0,Audio Storytelling,1,"Learn how to gather sound, conduct interviews, script stories, and produce your final pieces. The class will focus on news spots, vox, and news features, but students will also get a brief introduction to podcasting and longer form audio work."
JOUR 310-0,JOUR,310-0,Media Presentation: Newspaper/Online,1,"This course teaches the essentials of editing content for newspaper and for the Web. Students will learn how to edit for grammar and Associated Press style; achieve accuracy, clarity and objectivity; think critically and exercise news judgment; write headlines and captions for print and online; edit photos and graphics; and design pages for newspapers. 
Prerequisite: Medill sophomore standing."
JOUR 311-0,JOUR,311-0,Editing & Producing: Magazine,1,"This course will help students develop the fundamental editing skills required of an entry-level magazine editor working on print, digital and mobile platforms. 
Prerequisite: Medill sophomore standing."
JOUR 312-0,JOUR,312-0,Editing & Producing: Video,1,"This key Medill class is designed to teach writing to video for television and web newscasts in preparation for your journalism residency placement. The fast-paced course will emphasize the conversational writing styles of broadcast and video productions while continuing to build the journalistic fundamentals of accurate and ethical reporting. 
Prerequisite: Medill sophomore standing."
JOUR 319-0,JOUR,319-0,Entrepreneurial Approaches to Media Innovation,1,"In this course, students will study different approaches to media-focused innovative business. Students will examine media products and services, analyze the choices that are being made by media companies, tech entrepreneurs, and investors; and observe how the general public learns about these businesses. By application. 
Prerequisite: Medill sophomore standing."
JOUR 320-0,JOUR,320-0,Storytelling: Interactive News,1,"This course explores how newsrooms are using technology in innovative ways to engage their audiences; and also examines how a digital news presentation evolves across various multimedia platforms. It builds on the foundations of audio, photo, and video storytelling and adds interactivity and engagement techniques -- enabling students to design dynamic, creative digital narratives for news and feature reporting.Prerequisite: JOUR 301-0 or JOUR 301-1."
JOUR 321-0,JOUR,321-0,Storytelling: Magazine & Feature Writing,1,"This course introduces students to feature and magazine storytelling. Students will read and deconstruct an array of non-fiction stories and will report, write, re-write and edit short pieces and one long-form story. The course aims to inspire students to deliver memorable works of narrative, explanatory and service journalism, with particular emphasis on expanding reporting methods and sharpening prose. 
Prerequisite: JOUR 301-0 or JOUR 301-1."
JOUR 322-0,JOUR,322-0,"Storytelling: Video Reporting, Shooting, & Editing",1,"This is Medill’s core video reporting and field-producing class. In weekly assignments, students will practice a variety of research, writing and field reporting techniques that will prepare them for the challenges of creating video in a professional newsroom or as a freelancer. 
Prerequisite: JOUR 301-0 or JOUR 301-1."
