code,category,number,title,units,desc
JWSH_ST 101-7,JWSH_ST,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
JWSH_ST 101-8,JWSH_ST,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
JWSH_ST 210-0,JWSH_ST,210-0,Jewish Studies: An Overview,1,"Introduction to the field of Jewish studies. Methodologies used to research and analyze Jewish culture, history, and religion. Ethics Values Distro Area"
JWSH_ST 242-0,JWSH_ST,242-0,Imagining Modern Jewish Culture in Yiddish and German,1,"History and character of Yiddish and the development of modern German culture in general and German-Jewish culture in particular. Appreciation of the variety of ""Judaisms"" imagined and reimagined during modern European history. GERMAN 242-0 and JWSH_ST 242-0 are taught together; may not receive credit for both courses. Literature Fine Arts Distro Area"
JWSH_ST 266-0,JWSH_ST,266-0,Introduction to Yiddish Culture: Images of the Shtetl,1,"Analysis and discussion of the literary, visual, and filmic images of the communal life developed by Eastern European Jews and inseparably associated with them. GERMAN 266-0 and JWSH_ST 266-0 are taught together; students may receive credit for only one of these. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
JWSH_ST 278-0,JWSH_ST,278-0,Modern Hebrew Literature in Translation,1,History of Hebrew literature. Literature Fine Arts Distro Area
JWSH_ST 279-0,JWSH_ST,279-0,Modern Jewish Literature,1,"Modern European, American, and Israeli Jewish literature in historical context. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
JWSH_ST 280-4,JWSH_ST,280-4,Topics in Israel Studies,1,"Topics in Israel Studies: History, culture and society of the modern State of Israel. Content varies. May be repeated for credit with change of topic. Topics taught under this course number may be applied towards Weinberg College distribution requirement Area IV. Historical Studies Distro Area Historical Studies Foundational Discipline"
JWSH_ST 280-5,JWSH_ST,280-5,Topics in Israel Studies,1,"Topics in Israel Studies History, culture and society of the modern State of Israel. Content varies. May be repeated for credit with change of topic. Topics taught under this course number may be applied towards Weinberg College distribution requirement Area V. Ethics Values Distro Area"
JWSH_ST 280-6,JWSH_ST,280-6,Topics in Israel Studies,1,"Topics in Israel Studies: History, culture and society of the modern State of Israel. Content varies. May be repeated for credit with change of topic. Topics taught under this course number may be applied towards Weinberg College distribution requirement Area VI. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
JWSH_ST 280-7,JWSH_ST,280-7,Topics in Israel Studies,1,"Topics in Israel Studies: History, culture and society of the modern State of Israel. Content varies. Course number indicates distribution area towards which course counts. May be repeated for credit with change of topic."
JWSH_ST 350-0,JWSH_ST,350-0,Representing the Holocaust in Literature and Film,1,"Analysis of artistic, ethical, and historical questions about representing the Holocaust in different genres. Literature Fine Arts Distro Area"
JWSH_ST 366-0,JWSH_ST,366-0,Yiddish Culture and the Holocaust,1,"Analysis of modern Yiddish literature before the Holocaust as well as literary work that emerged from Yiddish-speaking writers who survived the Second World War. GERMAN 366-0 and JWSH_ST 366-0 are taught together; may receive credit for only one course. 
Prerequisite: None.
Literature Fine Arts Distro Area"
JWSH_ST 379-0,JWSH_ST,379-0,Storytelling in American Jewish Literature,1,Modern Jewish writers from diverse national and linguistic backgrounds who have reshaped the oral tradition in Judaism to their individual talents. Literature Fine Arts Distro Area
JWSH_ST 390-0,JWSH_ST,390-0,Topics in Jewish Studies,1,Addresses topics not covered by other course offerings. Content varies.
JWSH_ST 396-0,JWSH_ST,396-0,Topics in Modern Jewish Culture,1,"Analysis of major texts and figures in 20th and 21st century Jewish literature, with attention to their cultural context and import. Literature Fine Arts Distro Area"
JWSH_ST 399-0,JWSH_ST,399-0,Independent Study,1,For majors selected as candidates for departmental honors.  Consent of department is required to enroll.
