code,category,number,title,units,desc
LEGAL_ST 101-7,LEGAL_ST,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
LEGAL_ST 101-8,LEGAL_ST,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
LEGAL_ST 206-0,LEGAL_ST,206-0,Law and Society,1,"Introduction to the role of law in American society and the influence of society on law. Courts, the legal profession, law enforcement, inequality, and social change. Taught with SOCIOL 206-0; may not receive credit for both courses. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 207-0,LEGAL_ST,207-0,Legal Studies Research Methods,1,"Introduction to research methodologies used in interdisciplinary legal studies, including jurisprudence and legal reasoning, qualitative and quantitative social science methods, and historical and textual analysis. SOCIOL 227-0 and LEGAL_ST 207-0 are taught together; may not receive credit for both courses. 
Prerequisite: LEGAL_ST 206-0 or SOCIOL 206-0.
Advanced Expression Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
LEGAL_ST 221-0,LEGAL_ST,221-0,Famous American Trials,1,"Course explores several famous American trials to examine key themes in American political, legal, social, economic, and cultural history. We will focus largely on the twentieth century—a period of multiple “Trials of the Century” —to see how each trial crystallized broader political and social tensions over ethnicity, gender, race, religion, politics, sexuality, and social status. LEGAL_ST 221-0 and HISTORY 221-0 are taught together; may not receive credit for both. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 248-0,LEGAL_ST,248-0,Global Legal History,1,"This course examines four aspects of global legal history: 1) the imperial roots of international legal regimes and global governance; 2) the transnational history of laws on corporations and intellectual property; 3) the evolution of ideas about personhood and citizenship, including slavery, indigeneity, and artificial intelligence; and 4) the role of state borders and military monopolies. HISTORY 248-0 and LEGAL_ST 248-0 are taught together; may not receive credit for both. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline Social and Behavioral Science Foundational Discipl"
LEGAL_ST 276-0,LEGAL_ST,276-0,Introductory Topics in Legal Studies,1,May be repeated for credit with different topics.
LEGAL_ST 305-0,LEGAL_ST,305-0,American Immigration,1,"Themes in history of immigration, especially from Europe, Latin America, and Asia. Law, racial formation, acculturation, transnational and international contexts, competing notions of citizenship. HISTORY 305-0 and LEGAL_ST 305-0 are taught together; may not receive credit for both courses. 
Prerequisite: Course is reserved to undergraduates only.
Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 308-0,LEGAL_ST,308-0,Sociology of Law,1,"Sociological analysis of legal institutions such as courts, the police, and lawyers. Law, inequality, and social change. Taught with SOCIOL 318-0; may not receive credit for both courses. Advanced Expression Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 309-0,LEGAL_ST,309-0,Political Theories of the Rule of Law,1,Key documents and debates in the development of theories of law and jurisprudence. From Aeschylus to contemporary democratic and legal theories and major court cases on topics ranging from torture to Title IX. POLI_SCI 309-0 and LEGAL_ST 309-0 are taught together; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
LEGAL_ST 315-0,LEGAL_ST,315-0,Corporation in US Law and Culture,1,Tracing the evolution of the corporate person in the United States from the colonial era to the present: both the evolving legal rights and responsibilities of the corporation and the role that corporations have played in the American cultural imagination. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
LEGAL_ST 318-1,LEGAL_ST,318-1,Legal and Constitutional History of the United States: Colonial Period to 1850,1,"Colonial period - 1850. Development of legal institutions, constitutionalism, law and social change, law and economic development. Taught with HISTORY 318-1; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 318-2,LEGAL_ST,318-2,Legal and Constitutional History of the United States: Since 1850,1,"1850 - present. Law in industrial society: administration, race relations, corporations, environmental protection, civil liberties. Taught with HISTORY 318-2; may not receive credit for both courses. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
LEGAL_ST 320-0,LEGAL_ST,320-0,The Fourteenth Amendment,1,"The Fourteenth Amendment's role in defining and protecting citizenship, privileges and immunities, due process, and equal protection from its nineteenth-century origins to the present. HISTORY 320-0 and LEGAL_ST 320-0 are taught together; may not receive credit for both courses. Historical Studies Distro Area"
LEGAL_ST 331-0,LEGAL_ST,331-0,Politics of the Supreme Court,1,"Operation of appellate courts, with emphasis on the US Supreme Court. Decision making by appellate courts and the development of public policy. 
Prerequisite: POLI_SCI 220-0 or POLI_SCI 230-0. LEGAL_ST 331-0 and POLI_SCI 331-0 are taught together; may not receive credit for both courses."
