code,category,number,title,units,desc
LRN_SCI 201-0,LRN_SCI,201-0,Cognition and Action,1,"Perspectives on thinking and learning; how individuals reason and accomplish tasks, both on their own and in interaction with each other and with their immediate environments."
LRN_SCI 202-0,LRN_SCI,202-0,"Culture, Language, & Identity",1,"Social and cultural dimensions of learning, particularly how diverse linguistic and cultural tools mediate forms of identity, learning experiences, and participation in and transformation of social life."
LRN_SCI 214-0,LRN_SCI,214-0,Culture and Cognition,1,"Explore the cultural ground of cognition. How do cultural environments structure and orient our conceptual knowledge, and how do these cognitive processes feedback into cultural systems? Key topics include conceptual development, knowledge organization, causal reasoning, moral psychology, and environmental psychology. Jointly, the topics are integrated through a focus on social and ecological thought. We will engage in cultural artifact analyses, field experiences, and research inquiries. Combined with LOC 214-0; may not receive credit for both courses."
LRN_SCI 224-0,LRN_SCI,224-0,Holocaust Education Design,1,
LRN_SCI 251-0,LRN_SCI,251-0,Special Topics in Learning Sciences,1,
LRN_SCI 301-0,LRN_SCI,301-0,Design of Learning Environments,1,"Conceiving, building, and testing products and services to help people learn. Topics include the human-centered design process, principles for designing learning environments, and agile project management and communication techniques."
LRN_SCI 302-0,LRN_SCI,302-0,"Social, Cultural, and Linguistic Contexts of Education",1,"This course focuses on the social and contextual influences of education, from a learning, teaching, research, and policy perspective. We will examine the role or race, ethnicity, class, gender, sexuality, and identity in the ways individuals and groups influence and are influenced by our education system."
LRN_SCI 308-0,LRN_SCI,308-0,Redesigning Everyday Organizations,1,Concepts and methods for understanding and studying cognition and learning and putting these concepts and methods to use in a design/change project. Combined with LOC 308-0; may not receive credit for both courses.
LRN_SCI 309-0,LRN_SCI,309-0,Inclusive Making,1,"The goals of this course are to push students to 1) critically explore Making as a practice that promotes democratization, 2) develop interfaces that allow a broader population of students to participate in digital fabrication and 3) design artifacts that positively impact accessibility and inclusivity. The course will include guest speakers, laboratory portions and a projects that encourages students to develop publishable scholarship and/or functional prototypes, as they work in interdisciplinary teams.   This is a hands-on project course. All students will design and implement interactive technologies. For this reason you will be expected to do computer programming and digital fabrication. However, all projects can be completed in teams. Hence, it is not essential that all students come with prior knowledge in computer programming and digital fabrication. Additionally, a portion of class and office hours will be devoted to helping students gain familiarity in basic digital fabrication and computer programming."
LRN_SCI 313-0,LRN_SCI,313-0,Tangible Interaction Design and Learning,1,"Explores the use of tangible interaction to create innovative learning experiences, including distributed cognition, embodied interaction, cultural forms, and design frameworks. Combined with COMP_SCI 313-0; may not receive credit for both courses. 
Prerequisite: COMP_SCI 110-0."
LRN_SCI 323-0,LRN_SCI,323-0,"Holocaust Memory, Memorial and Museum",1,"What is Holocaust memory? How has Holocaust memory changed over time, and how does the Holocaust continue to affect our understanding of trauma, atrocity, and human rights today? This seminar addresses individual memory, including survivor and witness testimony, memory and trauma, and the impact of the Holocaust on survivors' families and communities. We also explore collective Holocaust memory and the development of mainstream framings of Holocaust history. We consider Jewish, Roma, and other victim narratives, including national memorialization, rituals of commemoration, and the development of Holocaust memorials, museums, and institutions in the United States and around the world. And we study how we have come to remember the Nazi perpetrators and their collaborators. We draw on course texts, including film and fiction, to ask questions about the relationships between individual and collective memories, as well as between commemoration and education."
LRN_SCI 326-0,LRN_SCI,326-0,Design of Technological Tools for Thinking and Learning,1,"Constructionist approach to design. Participants discuss learning design literature, critique software, and design and build computer-based learning environments (CBLE)."
LRN_SCI 338-0,LRN_SCI,338-0,Learning and Teaching with Technology,1,Theory and practice of designing school environments that integrate new technologies and media. Combined with TEACH_ED 338-0; may not receive credit for both courses.
LRN_SCI 351-0,LRN_SCI,351-0,Topics in Learning Sciences,1,
LRN_SCI 372-0,LRN_SCI,372-0,Designing and Constructing Models with Multi-agent Languages,1,"Exploration and analysis of multi-agent models, which simulate ""emergent"" scientific phenomena in a wide variety of content domains. Combined with COMP_SCI 372-0; may not receive credit for both courses."
