code,category,number,title,units,desc
MATH 100-0,MATH,100-0,Quantitative Reasoning,1,"Analyzing topical, real-life problems from a quantitative perspective. Solving multistep problems using elementary algebra, probability, and statistics. Students may not receive credit for MATH 100-0 after earning credit for a 200-level MATH course or higher. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
MATH 100-BR,MATH,100-BR,Quantitative Reasoning,0.5,"For participants in Bridge I summer program. Analyzing topical, real-life problems from a quantitative perspective. Solving multistep problems using elementary algebra, probability, and statistics. Taken with HUM 100-1-BR."
MATH 105-7,MATH,105-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
MATH 105-8,MATH,105-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
MATH 110-0,MATH,110-0,Introduction to Mathematics,1,"Exploration of the beauty of mathematics through a study of the patterns and properties of the natural numbers. Topics include counting, probability, prime numbers, the Euclidean algorithm, and unique factorization. For students with minimal mathematical background. Students may not receive credit for MATH 110-0 after earning credit for a 200-level MATH course or higher. Formal Studies Distro Area"
MATH 202-0,MATH,202-0,Finite Mathematics,1,"Selected topics from elementary linear algebra and its applications, finite probability, and elementary statistics. For students majoring in the behavioral sciences. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
MATH 211-0,MATH,211-0,Short Course in Calculus,1,"Elements of differential and integral calculus. Students may not receive credit for both MATH 211-0 and any of MATH 212-0 (former), MATH 213-0 (former), MATH 214-0 (former), MATH 218-1, MATH 218-2, MATH 218-3, MATH 220-0 (former), MATH 220-1, MATH 220-2, MATH 224-0 (former), or MATH 226-0. Not suitable for students planning to major in mathematics, the natural sciences, or economics. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
MATH 218-1,MATH,218-1,Single-Variable Calculus with Precalculus,1,"Functions and graphs. Limits. Continuity. Differentiation. Linearization. Students may not receive credit for both MATH 218-1 and any of MATH 211-0, MATH 212-0 (former), MATH 220-0 (former), or MATH 220-1. 
Prerequisite: consent of the department.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
MATH 218-2,MATH,218-2,Single-Variable Calculus with Precalculus,1,"Extreme value theorem, mean value theorem, and curve-sketching. Related rates. Optimization. Transcendental and inverse functions. Students may not receive credit for both MATH 218-2 and any of MATH 211-0, MATH 212-0 (former), MATH 220-0 (former), or MATH 220-1. 
Prerequisite: MATH 218-1 or consent of the department.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
MATH 218-3,MATH,218-3,Single-Variable Calculus with Precalculus,1,"Definite integrals, antiderivatives, and the fundamental theorem of calculus. Areas and volumes. Techniques of integration, numerical integration, and improper integrals. First-order linear and separable ordinary differential equations. Students may not receive credit for both MATH 218-3 and any of MATH 213-0 (former), MATH 220-2, or MATH 224-0 (former). 
Prerequisite: MATH 218-2 or consent of the department.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
