code,category,number,title,units,desc
MECH_ENG 222-0,MECH_ENG,222-0,Thermodynamics & Statistical Mechanics - I,1,"Basic thermodynamics, applications to energy efficiency and climate change, and introduction to statistical thermodynamics. 
Prerequisite: MATH 220-2 and GEN_ENG 205-3."
MECH_ENG 224-0,MECH_ENG,224-0,Scientific and Embedded Programming in Python,1,"Python is arguably now the world's foremost programming language. It is the go-to coding language for data scientists, machine learning researchers, design engineers, and anyone who needs to grab and process the vast amounts of data online, from networked sensors, or smart devices. Recently Python has become practical for coding in embedded systems, as well. Embedded microcontrollers are relevant for our annual robot design competition, NU engineering teams (Solar car, Baja), internships, and experimental apparatuses. Our approach to coding emphasizes algorithm creation, debugging, methodical creation and partitioning in a modern notebook framework, as well as hardware-level access for microcontroller applications. The course is taught in an active learning format. 
Prerequisite: GEN_ENG 205-1 or GEN_ENG 206-1."
MECH_ENG 233-0,MECH_ENG,233-0,Electronics Design,1,"Design and prototyping of analog and digital electronic circuits using semiconductor devices: diodes, transistors, op amps, logic chips, etc. Optical and other sensors, power electronics, filters, and feedback control. Extensive hands-on construction and debugging. Intended for engineers in all disciplines."
MECH_ENG 240-0,MECH_ENG,240-0,Intro to Mechanical Design and Manufactrng,1,"Introduction to strategy and methods of designing, manufacturing, and testing of mechanical products. Material properties and selection methodology, engineering drawing and CAD, and simple manufacturing processes. 
Prerequisites: MAT_SCI 201-0; CIV_ENV 216-0."
MECH_ENG 241-0,MECH_ENG,241-0,Fluid Mechanics I,1,"Fundamentals of fluid mechanics. Properties and statics of fluids. Kinematics and dynamics of fluid motion-continuity, momentum, and energy equations. Dimensional analysis, flow in closed conduits. 
Prerequisites: MATH 228-2 (may be taken concurrently) and GEN_ENG 205-4."
MECH_ENG 301-0,MECH_ENG,301-0,Introduction to Robotics Laboratory,1,"A laboratory-based introduction to robotics. Focus will be on both hardware (sensors and actuators) and software (sensor processing and behavior development). Topics will include: the basics in kinematics, dynamics, control and motion planning; and an introduction to Artificial Intelligence (AI) and Machine Learning (ML). Cross-listed as COMP_SCI 301-0."
MECH_ENG 314-0,MECH_ENG,314-0,Machine Dynamics,1,"MECH_ENG 314-0 Machine Dynamics (1 Unit) 
Prerequisite: GEN_ENG 205-4."
MECH_ENG 315-0,MECH_ENG,315-0,Theory of Machines: Design of Elements,1,"Factors influencing the proportioning of machine elements-stresses, deformations, and failure criteria-as applied to shafts, springs, belts, bearings, gears. Lectures, laboratory. 
Prerequisite: MECH_ENG 240-0."
MECH_ENG 316-0,MECH_ENG,316-0,Mechanical Systems Design,1,"MECH_ENG 316-0 Mechanical Systems Design (1 Unit) 
Prerequisite: MECH_ENG 315-0."
MECH_ENG 320-0,MECH_ENG,320-0,Micro- and Nanomechanical Properties of Surfaces,1,MECH_ENG 320-0 Micro- and Nanomechanical Properties of Surfaces (1 Unit)  
MECH_ENG 322-0,MECH_ENG,322-0,Thermodynamics and Statistical Mechanics II,1,"MECH_ENG 322-0 Thermodynamics and Statistical Mechanics II (1 Unit) 
Prerequisite: MECH_ENG 222-0."
MECH_ENG 327-0,MECH_ENG,327-0,Finite Elements for Stress Analysis,1,MECH_ENG 327-0 Finite Elements for Stress Analysis (1 Unit)  
MECH_ENG 328-0,MECH_ENG,328-0,Computational Failure Analysis,1,"MECH_ENG 328-0 Computational Failure Analysis (1 Unit) 
Prerequisite: CIV_ENV 327-0 or MECH_ENG 327-0."
MECH_ENG 329-0,MECH_ENG,329-0,Mechanistic Data Science for Engineering,1,MECH_ENG 329-0 Mechanistic Data Science for Engineering (1 Unit)  
MECH_ENG 333-0,MECH_ENG,333-0,Introduction to Mechatronics,1,"MECH_ENG 333-0 Introduction to Mechatronics (1 Unit) 
Prerequisite: MECH_ENG 233-0 or ELEC_ENG 221-0 or BMD_ENG 308-0, or consent of instructor."
MECH_ENG 340-1,MECH_ENG,340-1,Computer Integrated Manufacturing: Manufacturing Processes,1,"MECH_ENG 340-1 Computer Integrated Manufacturing: Manufacturing Processes (1 Unit) 
Prerequisite: MECH_ENG 240-0 or consent of instructor."
