code,category,number,title,units,desc
MENA 101-7,MENA,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
MENA 101-8,MENA,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
MENA 200-0,MENA,200-0,"Making the Modern Middle East: Culture, Politics, History",1,"The emergence of the Middle East as a world region and its representation in art, literature, and film in relation to geopolitics from the colonial period to the present. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area"
MENA 290-3,MENA,290-3,Introductory Topics in Middle East and North African Studies,1,Content and prerequisites vary; within the social and behavioral sciences. May be repeated for credit with change of topic. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
MENA 290-4,MENA,290-4,Introductory Topics in Middle East and North African Studies,1,Content and prerequisites vary; within historical studies. May be repeated for credit with change of topic. Historical Studies Distro Area Historical Studies Foundational Discipline
MENA 290-5,MENA,290-5,Introductory Topics in Middle East and North African Studies,1,Content and prerequisites vary; within ethics and values areas of study. May be repeated for credit with change of topic. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
MENA 290-6,MENA,290-6,Introductory Topics in Middle East and North African Studies,1,Content and prerequisites vary; within literature and fine arts areas of study. May be repeated for credit with change of topic. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
MENA 301-1,MENA,301-1,Seminar in Middle East and North African Studies,1,Interdisciplinary approaches to the study of the Middle East and North Africa. Content varies with annual theme. May be repeated for credit with a change in topic. Courses need not be taken in sequence.
MENA 301-2,MENA,301-2,Seminar in Middle East and North African Studies,1,Interdisciplinary approaches to the study of the Middle East and North Africa. Content varies with annual theme. May be repeated for credit with a change in topic. Courses need not be taken in sequence.
MENA 301-3,MENA,301-3,Seminar in Middle East and North African Studies,1,Interdisciplinary approaches to the study of the Middle East and North Africa. Content varies with annual theme. May be repeated for credit with a change in topic. Courses need not be taken in sequence.
MENA 390-3,MENA,390-3,Advanced Topics in Middle East & North African Studies,1,Content and prerequisites vary; within the social and behavioral sciences. May be repeated for credit with change of topic. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
MENA 390-4,MENA,390-4,Advanced Topics in Middle East & North African Studies,1,Content and prerequisites vary; within historical studies. May be repeated for credit with change of topic. Historical Studies Distro Area Historical Studies Foundational Discipline
MENA 390-5,MENA,390-5,Advanced Topics in Middle East & North African Studies,1,Content and prerequisites vary; within ethics and values areas of study. May be repeated for credit with change of topic. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
MENA 390-6,MENA,390-6,Advanced Topics in Middle East & North African Studies,1,Content and prerequisites vary; within literature and fine arts areas of study. May be repeated for credit with change of topic. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
MENA 399-0,MENA,399-0,Independent Study,1,"Reading and conferences on special subjects for advanced undergraduates. 
Prerequisite: consent of director of undergraduate studies and instructor."
