code,category,number,title,units,desc
MUSIC 111-1,MUSIC,111-1,Music Theory  I,0.5,"Music as sound in time. Analytical studies in forms, media, textures, and harmonic and melodic materials."
MUSIC 111-2,MUSIC,111-2,Music Theory II,0.5,"Music as sound in time. Analytical studies in forms, media, textures, and harmonic and melodic materials. 
Prerequisite: MUSIC 111-1."
MUSIC 111-3,MUSIC,111-3,Music Theory III,0.5,"Music as sound in time. Analytical studies in forms, media, textures, and harmonic and melodic materials. 
Prerequisite: MUSIC 111-2."
MUSIC 126-1,MUSIC,126-1,Aural Skills I,0.5,"Sight-singing and ear-training; drill in recognition of melodic, rhythmic, and harmonic patterns and aural analysis through listening and dictation. Progresses through six levels of proficiency."
MUSIC 126-2,MUSIC,126-2,Aural Skills II,0.5,"Sight-singing and ear-training; drill in recognition of melodic, rhythmic, and harmonic patterns and aural analysis through listening and dictation. Progresses through six levels of proficiency."
MUSIC 126-3,MUSIC,126-3,Aural Skills III,0.5,"Sight-singing and ear-training; drill in recognition of melodic, rhythmic, and harmonic patterns and aural analysis through listening and dictation. Progresses through six levels of proficiency."
MUSIC 127-1,MUSIC,127-1,Keyboard Skills 1,0.5,"This is the first quarter of a year-long sequence. This track is for beginning piano students. Topics include repertoire, a healthful approach to piano technique, scales, keyboard harmony, ensemble, sight reading, and creative work."
MUSIC 127-2,MUSIC,127-2,Keyboard Skills 2,0.5,Class instruction in keyboard skills.
MUSIC 127-3,MUSIC,127-3,Keyboard Skills 3,0.5,Class instruction in keyboard skills.
MUSIC 128-1,MUSIC,128-1,Keyboard Skills 1+,0.5,"This is the first quarter of a year-long sequence. This track is for students with a little piano background, typically 1-2 years of previous study. Topics include repertoire, technique, scales, and keyboard harmony. Ensemble, sight reading, and creative work are covered as well."
MUSIC 128-2,MUSIC,128-2,Keyboard Skills 2+,0.5,Class instruction in keyboard skills.
MUSIC 128-3,MUSIC,128-3,Keyboard Skills 3+,0.5,Keyboard Skills 3+.
MUSIC 129-1,MUSIC,129-1,Keyboard Skills 1-2-3,0.5,"This course is for students with piano background. Topics include sight reading, keyboard theory, harmonizing melodies, solo repertoire, and ensemble."
MUSIC 129-2,MUSIC,129-2,Keyboard Skills 4-5-6,0.5,Class instruction in keyboard skills.
