code,category,number,title,units,desc
MUSICOL 313-0,MUSICOL,313-0,World Music Cultures,1,MUSICOL 313-0 World Music Cultures (1 Unit)  
MUSICOL 323-0,MUSICOL,323-0,Topics in Ethnomusicology,1,MUSICOL 323-0 Topics in Ethnomusicology (1 Unit) Literature Fine Arts Distro Area
MUSICOL 326-0,MUSICOL,326-0,Topics in World Music: Asia,1,MUSICOL 326-0 Topics in World Music: Asia (1 Unit)  
MUSICOL 329-0,MUSICOL,329-0,Topics in Middle Eastern Music,1,MUSICOL 329-0 Topics in Middle Eastern Music (1 Unit) Literature Fine Arts Distro Area
MUSICOL 330-0,MUSICOL,330-0,Russian Fairy Tale Opera,1,MUSICOL 330-0 Russian Fairy Tale Opera (1 Unit) Literature Fine Arts Distro Area
MUSICOL 331-0,MUSICOL,331-0,Orientalism and Music,1,MUSICOL 331-0 Orientalism and Music (1 Unit) Literature Fine Arts Distro Area
MUSICOL 332-0,MUSICOL,332-0,Music and Gypsies,1,MUSICOL 332-0 Music and Gypsies (1 Unit)  
MUSICOL 333-0,MUSICOL,333-0,Topics in Popular Music,1,MUSICOL 333-0 Topics in Popular Music (1 Unit)  
MUSICOL 334-0,MUSICOL,334-0,Russian Modernism,1,MUSICOL 334-0 Russian Modernism (1 Unit)  
MUSICOL 335-0,MUSICOL,335-0,Selected Topics,1,MUSICOL 335-0 Selected Topics (1 Unit) Literature Fine Arts Distro Area
MUSICOL 335-SA,MUSICOL,335-SA,Selected Topics,1,Topics vary; announced before registration. May be repeated. Literature Fine Arts Distro Area
MUSICOL 338-0,MUSICOL,338-0,Expressionism,1,MUSICOL 338-0 Expressionism (1 Unit)  
MUSICOL 339-0,MUSICOL,339-0,Music and Gender,1,MUSICOL 339-0 Music and Gender (1 Unit) Literature Fine Arts Distro Area
MUSICOL 341-0,MUSICOL,341-0,Music and the Visual Arts,1,MUSICOL 341-0 Music and the Visual Arts (1 Unit)  
MUSICOL 342-0,MUSICOL,342-0,Authenticity,1,MUSICOL 342-0 Authenticity (1 Unit) Literature Fine Arts Distro Area
MUSICOL 343-0,MUSICOL,343-0,Music and Shakespeare,1,MUSICOL 343-0 Music and Shakespeare (1 Unit)  
MUSICOL 344-0,MUSICOL,344-0,Music and Film,1,MUSICOL 344-0 Music and Film (1 Unit)  
MUSICOL 345-0,MUSICOL,345-0,From Literature to Opera to Film,1,MUSICOL 345-0 From Literature to Opera to Film (1 Unit)  
MUSICOL 346-0,MUSICOL,346-0,Composer Topics,1,MUSICOL 346-0 Composer Topics (1 Unit)  
MUSICOL 347-0,MUSICOL,347-0,The Lied,1,MUSICOL 347-0 The Lied (1 Unit)  
MUSICOL 348-0,MUSICOL,348-0,Bel Canto Opera,1,MUSICOL 348-0 Bel Canto Opera (1 Unit)  
MUSICOL 350-0,MUSICOL,350-0,Topics in Medieval Music,1,MUSICOL 350-0 Topics in Medieval Music (1 Unit) Literature Fine Arts Distro Area
MUSICOL 351-0,MUSICOL,351-0,Topics in 16th Century Music,1,MUSICOL 351-0 Topics in 16th Century Music (1 Unit) Literature Fine Arts Distro Area
MUSICOL 352-0,MUSICOL,352-0,Topics in 17th Century Music,1,MUSICOL 352-0 Topics in 17th Century Music (1 Unit)  
MUSICOL 353-0,MUSICOL,353-0,Topics in 18th Century Music,1,MUSICOL 353-0 Topics in 18th Century Music (1 Unit)  
MUSICOL 354-0,MUSICOL,354-0,Topics in 19th Century Music,1,MUSICOL 354-0 Topics in 19th Century Music (1 Unit)  
MUSICOL 355-0,MUSICOL,355-0,Topics in 20th Century Music,1,MUSICOL 355-0 Topics in 20th Century Music (1 Unit)  
MUSICOL 356-0,MUSICOL,356-0,Topics in Contemporary Music,1,MUSICOL 356-0 Topics in Contemporary Music (1 Unit)  
MUSICOL 385-0,MUSICOL,385-0,Senior Project,1,
MUSICOL 390-0,MUSICOL,390-0,Musicology Colloquium,0,
MUSICOL 399-0,MUSICOL,399-0,Independent Study,0.5-1,
