code,category,number,title,units,desc
MUSIC_ED 230-0,MUSIC_ED,230-0,Woodwind Class,0.5,
MUSIC_ED 231-0,MUSIC_ED,231-0,Guitar Class,0.5,
MUSIC_ED 234-0,MUSIC_ED,234-0,Double Reeds Class,0.5,
MUSIC_ED 235-0,MUSIC_ED,235-0,High Brass Class,0.5,
MUSIC_ED 236-0,MUSIC_ED,236-0,Low Brass Class,0.5,
MUSIC_ED 237-0,MUSIC_ED,237-0,String Class I,0.5,
MUSIC_ED 238-0,MUSIC_ED,238-0,String Class II,0.5,
MUSIC_ED 239-0,MUSIC_ED,239-0,Percussion Class,0.5,
MUSIC_ED 240-0,MUSIC_ED,240-0,Classroom Instruments,0.5,
MUSIC_ED 260-0,MUSIC_ED,260-0,Introduction to Music Education,1,This course is designed as an introduction to the field of music education. It will provide an overview of the multifaceted nature of K-12 music teaching and learning and serve as a foundation for the construction of your own beliefs and practices as a teacher. We will observe music classrooms as well as read about and discuss a variety of current issues and exciting movements in music education.
MUSIC_ED 314-0,MUSIC_ED,314-0,Practicum,0,"Practicum lab linked to MUSIC_ED 361-0, MUSIC_ED 362-0, MUSIC_ED 364-0, MUSIC_ED 365-0, MUSIC_ED 366-0, and MUSIC_ED 367-0."
MUSIC_ED 326-0,MUSIC_ED,326-0,World Music Pedagogy,1,"This course is designed to explore the history, philosophy, and practical implementation of world music in music education settings. Develops in students a deeper understanding of the value of world music experiences in music education contexts and the ability to develop and implement world music activities in a variety of classroom settings."
MUSIC_ED 327-0,MUSIC_ED,327-0,Teaching Exceptional Children,1,"Topics will include U.S. legislation relating to the education of individuals with disabilities, specific disabilities and their impact on student behavior and learning (behavioral disorders, cognitive, speech, and language disorders, autism spectrum disorders, hearing and visual impairments, physical disabilities, person-first language), Universal Design for Learning, and accommodations, adaptations, and differentiation for the music classroom. Students may engage virtually in weekly community field service at a local school for children with disabilities."
MUSIC_ED 335-0,MUSIC_ED,335-0,Selected Topics,1,Topics vary; announced before registration. May be repeated.
