code,category,number,title,units,desc
NAV_SCI 110-0,NAV_SCI,110-0,Introduction to Naval Organization,0,NAV_SCI 110-0 Introduction to Naval Organization (0 Unit)  
NAV_SCI 120-0,NAV_SCI,120-0,Sea Power and Maritime Affairs,1,NAV_SCI 120-0 Sea Power and Maritime Affairs (1 Unit)  
NAV_SCI 210-0,NAV_SCI,210-0,Marine Navigation,1,NAV_SCI 210-0 Marine Navigation (1 Unit)  
NAV_SCI 220-0,NAV_SCI,220-0,Naval Ship Systems II - Naval Weapons,1,NAV_SCI 220-0 Naval Ship Systems II - Naval Weapons (1 Unit)  
NAV_SCI 230-0,NAV_SCI,230-0,Leadership and Management Seminar for Naval Officers,1,NAV_SCI 230-0 Leadership and Management Seminar for Naval Officers (1 Unit)  
NAV_SCI 331-0,NAV_SCI,331-0,Naval Operations,1,NAV_SCI 331-0 Naval Operations (1 Unit)  
NAV_SCI 336-0,NAV_SCI,336-0,Evolution of Warfare,1,NAV_SCI 336-0 Evolution of Warfare (1 Unit)  
NAV_SCI 338-0,NAV_SCI,338-0,Fundamentals of Maneuver Warfare,1,NAV_SCI 338-0 Fundamentals of Maneuver Warfare (1 Unit)  
NAV_SCI 341-0,NAV_SCI,341-0,Naval Leadership and Ethics,1,NAV_SCI 341-0 Naval Leadership and Ethics (1 Unit)  
NAV_SCI 345-0,NAV_SCI,345-0,Naval Ship Systems I - Naval Engineering,1,NAV_SCI 345-0 Naval Ship Systems I - Naval Engineering (1 Unit)  
NAV_SCI 350-0,NAV_SCI,350-0,Naval Science Lab,0,NAV_SCI 350-0 Naval Science Lab (0 Unit)  
NAV_SCI 355-0,NAV_SCI,355-0,Directed Study,0,NAV_SCI 355-0 Directed Study (0 Unit)  
