code,category,number,title,units,desc
PERF_ST 101-0,PERF_ST,101-0,Modes of Performance,1,"Introduction to performance as a concept, embodied practice, and as a critical methodology. We will cover the various ways performance has been conceived over time; various approaches to acting; various performance styles; and various ways of using performance to analyze literary and non-literary texts. Students will do both solo and group performances each week and write critical essays on performance. Literature and Arts Foundational Discipline"
PERF_ST 103-0,PERF_ST,103-0,Analysis and Performance of Text,1,"This course studies texts, broadly defined and situated, through performance. Students explore how performance helps the performer and audience interpret a text, as well as express challenging political and personal themes. They examine the ways performance illuminates and draws out deeper understandings of social relations through embodied praxis. Literature Fine Arts Distro Area"
PERF_ST 119-0,PERF_ST,119-0,Production Laboratory,0,Registration for performance studies majors fulfilling production crew requirements. Students perform duties for run crews and house crews in connection with department-sponsored productions in the Krause Performance Lab of Annie May Swift Hall.
PERF_ST 200-0,PERF_ST,200-0,Introduction to Performance Studies,1,"Explores fundamental themes and debates that animate the field, introducing a range of ways of theorizing, conceptualizing, studying, and making performance. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
PERF_ST 203-0,PERF_ST,203-0,Performance Culture and Communication,1,Explores how live performance and dramatic forms of communication are methods used to examine social behavior and cultural expressions.
PERF_ST 210-1,PERF_ST,210-1,Performance of Poetry,1,"Introduction to the analysis and performance of poetry. 
Prerequisite: PERF_ST 103-0 or equivalent."
PERF_ST 210-2,PERF_ST,210-2,Performance of Narrative Fiction,1,"Introduction to the study of narrative performance. 
Prerequisite: PERF_ST 103-0 or equivalent."
PERF_ST 220-0,PERF_ST,220-0,Sound Cultures,1,"Introduction to ways of thinking culturally and historically about sound and listening. Students learn to describe, contrast, and analyze sound cultures over a wide geographical and chronological range. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
PERF_ST 225-0,PERF_ST,225-0,Black Music Studies,1,"This course introduces students to specific topics in the field of Black Music Studies that range from American gospel music and jazz to the question of how Black sound and performance gestate in everyday life, locally and transnationally. Students will engage with the complex socio-political dynamics that have historically shaped music in Black spaces as well as the role of Black and Afro-diasporic musical practices in shaping sono-musical cultures worldwide. No prerequisites. Specific topics and approaches to be determined by individual instructor. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
PERF_ST 230-0,PERF_ST,230-0,Food and Performance,1,"A critical engagement with food as a performance medium. This course explores food in its embodied, material, symbolic and evocative potential in historical, fictional, ethnographic and journalistic writings, as well as poetry, memoirs, cookbooks, selected films, plays, performances, music, visual and performance art. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
PERF_ST 250-0,PERF_ST,250-0,Topics in Performance Studies,1,"Readings, discussion, and creative work in performance studies research and artistic practice. Topics vary. May be repeated for credit."
PERF_ST 300-0,PERF_ST,300-0,Movement Based Performance,1,"Movement laboratory exploring theories and techniques of movement for performance, including dance, physical theatre, and framed quotidian action. Introduction to leading practitioners and practices in movement training, choreography, and composition."
PERF_ST 301-0,PERF_ST,301-0,Performance and Activism in Digital Culture,1,"Exploration of the intersection between performance and digital media as tools for activism. Includes practices of hacktivism, counter-surveillance, locative media activism, and networked protest. Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
PERF_ST 302-0,PERF_ST,302-0,Art and Performance in Asian America,1,"Introduction to the arts and performance of Asian America, including popular culture, performance art, theatre, and dance. Overview of current practices in Asian American aesthetic criticism."
PERF_ST 303-0,PERF_ST,303-0,Transnational Flows of Performance,1,"Exploration of how transnationalism and globalization challenge the concept of modern nation-states as bounded territories, identities, and cultures by considering how social actors negotiate these processes through performance as an embodied, in situ-cultural practice. Literature Fine Arts Distro Area"
PERF_ST 304-0,PERF_ST,304-0,Sonic Practices of the Middle East and North Africa,1,"Sonic and musical practices and ritual in the Middle East and North Africa in relation to modernity, transnationalism, political economy, and performance. Literature Fine Arts Distro Area"
PERF_ST 305-0,PERF_ST,305-0,Performance Theory,1,"Introduction to theoretical approaches that animate performance studies, including Marxism, psychoanalysis, deconstruction, postcolonial theory, critical race theory, feminist theory, and queer theory. Literature Fine Arts Distro Area"
