code,category,number,title,units,desc
PHIL 101-7,PHIL,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
PHIL 101-8,PHIL,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
PHIL 110-0,PHIL,110-0,Introduction to Philosophy,1,Fundamental problems and methods of philosophy. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
PHIL 150-0,PHIL,150-0,Elementary Logic I,1,Introduction to the philosophical study of logical entailment and deduction. Systems of classical propositional and predicate logic; and their bearing on philosophical quandaries. First quarter of PHIL 150-0/PHIL 250-0/PHIL 350-0 sequence. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area
PHIL 151-0,PHIL,151-0,Scientific Reasoning,1,"Introduction to probabilistic calculus and its role in science. Topics may include Bayes's theorem, the Dutch Book theorem, hypothesis and confirmation, problems of induction, subjective and objective interpretations of probability, causal reasoning. Formal Studies Distro Area"
PHIL 210-1,PHIL,210-1,History of Philosophy - Ancient,1,"Classical readings from authors of the Western tradition of ancient philosophy, like Plato, Aristotle, Stoics, Epicureans, Cicero, Seneca. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 210-2,PHIL,210-2,History of Philosophy - Medieval,1,Classical readings from authors of the Western tradition of medieval philosophy. Ethics Values Distro Area
PHIL 210-3,PHIL,210-3,History of Philosophy - Early Modern,1,"Classical readings from authors of the Western tradition of the early modern age of enlightenment, like Hobbes, Locke, Spinoza, Leibniz, Hume. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 216-0,PHIL,216-0,Introduction to Pragmatism,1,"Introduction to classical and contemporary literature in pragmatist philosophy: Peirce, James, Mead, Dewey, and 20th century neopragmatist authors (Quine, Rorty, Putnam, et al.). Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 219-0,PHIL,219-0,Introduction to Existentialism,1,"Principal sources of existential philosophy: Kierkegaard, Jaspers, Marcel, Nietzsche, Sartre, Heidegger, Merleau-Ponty, and others. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 220-0,PHIL,220-0,Introduction to Critical Theory,1,"Crisis, criticism, and critique in philosophical, political, and cultural contexts. Focus on the philosophical aspects of critical theory with reference to social conditions and art, literary, and/or political forms. COMP_LIT 207-0 and PHIL 220-0 are taught together; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
PHIL 221-0,PHIL,221-0,"Gender, Politics, & Philosophy",1,"Role of gender difference in the main political-philosophical traditions: social contract, liberalism, republicanism, socialism-Marxism, critical theory. The classics of feminist political philosophy (Wollstonecraft, Mill, Taylor, Engels), followed by contemporary debates. Taught with GNDR_ST 233-0; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
PHIL 222-0,PHIL,222-0,Introduction to Africana Philosophy,1,"Conceptual and historical approaches to philosophical questions, topics, and figures belonging to the African Diaspora including political thought, ethical thought, aesthetics, hermeneutics, philosophy of identity, and epistemologies. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
PHIL 224-0,PHIL,224-0,"Philosophy, Race, and Racism",1,"Introduction to philosophical discussions of race, race identity, and racism. Readings may be drawn from classical as well as contemporary sources. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area U.S. Perspectives on Power, Justice, and Equity"
PHIL 225-0,PHIL,225-0,Minds and Machines,1,"Introductory course addressing philosophical issues arising from the study of intelligence, including the possibility of machine intelligence and its relevance to the study of human intelligence. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
PHIL 240-0,PHIL,240-0,Freedom and Responsibility,1,"Introduction to philosophy through an examination of major theories of freedom and responsibility, with attention to how these may be affected by the scientific worldview. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 250-0,PHIL,250-0,Elementary Logic II,1,"Introduction to variations of classical logic, and their application to philosophical topics, among them necessity and possibility, obligation and permission, knowledge and truth. Second quarter of PHIL 150-0/PHIL 250-0/PHIL 350-0 sequence. 
Prerequisite: PHIL 150-0.
Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
PHIL 253-0,PHIL,253-0,Introduction to the Philosophy of Language,1,"Contemporary themes and theories in the philosophy of language. Topics may include context and semantics, the semantics-pragmatics boundary, implicature, reference, presupposition, speech acts, and the role of language in shaping conceptions of social and natural reality. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
PHIL 254-0,PHIL,254-0,Introduction to Philosophy of the Natural Sciences,1,"Philosophical and methodological issues in the natural sciences, such as the discovery and testing of hypotheses, explanation, theory selection, the nature of scientific laws, causality, space and time, determinism. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 255-0,PHIL,255-0,Theory of Knowledge,1,"Basic philosophical questions about human knowledge, focusing on skepticism and competing theories of knowledge. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 257-0,PHIL,257-0,Philosophy of the Universe,1,"Methods for and approaches to philosophical inquiry about the ultimate nature of the universe. Topics include: emergence of the macroscopic world, laws of nature, the directionality of time, cosmological arguments for the existence of God, life, consciousness. No Prerequisites. Ethics Values Distro Area"
PHIL 259-0,PHIL,259-0,Introduction to Metaphysics,1,"Introductory discussion of some debates in contemporary metaphysics. Possible topics include objectivity, time, universals, causations, possible worlds, and material constitution. Ethics Values Distro Area"
PHIL 260-0,PHIL,260-0,Introduction to Moral Philosophy,1,Overview of some of the main ideas and most influential writings of moral philosophy. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
PHIL 261-0,PHIL,261-0,Introduction to Political Philosophy,1,Overview of some of the main ideas and most influential writings of political philosophy. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
PHIL 262-0,PHIL,262-0,Ethical Problems and Public Issues,1,"Analysis of such controversial issues as the death penalty, abortion, euthanasia, sexual morality, economic justice and welfare, pornography and censorship, discrimination and preferential treatment, the environment, and world hunger. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area U.S. Perspectives on Power, Justice, and Equity"
PHIL 266-0,PHIL,266-0,Philosophy of Religion,1,"Survey of the central issues in the philosophic analysis of religious experience and cultures: the existence of God or divine-like forces, creation, miracles, the claims of faith versus the claims of reason, sin, free will, immortality, revelation, harmony of the universe, community of humanity and universe. May be repeated for credit with change of topic. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 268-0,PHIL,268-0,Ethics and the Environment,1,"Topics include our relationship to the environment, the obligation to future generations, pollution and population control, food and energy production and distribution, species diversity, and the preservation of wilderness. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 269-0,PHIL,269-0,Bioethics,1,"Ethical analysis of a variety of issues such as the human genome project, genetic therapy, cloning and stem cell transplantation, human and animal research, reproductive technologies, and the allocation of resources. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
PHIL 273-1,PHIL,273-1,The Brady Scholars Program: The Moral Life,1,Course asking questions that allow determining how we are to treat and interact with others. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
