code,category,number,title,units,desc
PHYSICS 101-7,PHYSICS,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
PHYSICS 101-8,PHYSICS,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
PHYSICS 103-0,PHYSICS,103-0,Ideas of Physics,1,"Topics in modern physics. Content varies-for example, relativity, the physics of music, and the progress of physics through history. Requires only high school mathematics and is designed for non-science majors. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 125-1,PHYSICS,125-1,General Physics ISP,1,"General physics course relying extensively on calculus. Similar to PHYSICS 135-1 but more advanced and intended for ISP students. A concurrent advanced calculus course, MATH 281-1 is offered by the mathematics department. 
Prerequisite: first-year standing in ISP or consent of the department and concurrent enrollment in PHYSICS 126-1.
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 125-2,PHYSICS,125-2,General Physics for ISP,1,"General physics course relying extensively on calculus. Similar to PHYSICS 135-2 but more advanced and intended for ISP students. A concurrent advanced calculus course, MATH 281-2, is offered by the mathematics department. 
Prerequisite: first-year standing in ISP or consent of the department and concurrent enrollment in PHYSICS 126-2.
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 125-3,PHYSICS,125-3,General Physics for ISP,1,"General physics course relying extensively on calculus. Similar to PHYSICS 135-3 but more advanced and intended for ISP students. A concurrent advanced calculus course, MATH 281-3 is offered by the mathematics department. 
Prerequisite: first-year standing in ISP or consent of the department and concurrent enrollment in PHYSICS 126-3.
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 126-1,PHYSICS,126-1,Physics Laboratory for ISP,0.34,"Introductory physics laboratory for students taking PHYSICS 125-1, with which it must be taken concurrently."
PHYSICS 126-2,PHYSICS,126-2,Physics Laboratory for ISP,0.34,"Introductory physics laboratory for students taking PHYSICS 125-2, with which it must be taken concurrently."
PHYSICS 126-3,PHYSICS,126-3,Physics Laboratory for ISP,0.34,"Introductory physics laboratory for students taking PHYSICS 125-3, with which it must be taken concurrently."
PHYSICS 130-1,PHYSICS,130-1,College Physics,1,"Algebra-based physics primarily for premedical students who do not need to take calculus-based physics. Topics covered are similar to those of PHYSICS 135-1. Students with credit for a quarter of Physics 135 may not later receive credit for the comparable quarter of Physics 130. 
Prerequisites: algebra, trigonometry, and concurrent enrollment in PHYSICS 136-1.
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 130-2,PHYSICS,130-2,College Physics,1,"Algebra-based physics primarily for premedical students who do not need to take calculus-based physics. Topics covered are similar to those of PHYSICS 135-2. Students with credit for a quarter of Physics 135 may not later receive credit for the comparable quarter of Physics 130. 
Prerequisites: PHYSICS 130-1, PHYSICS 136-1, and concurrent enrollment in PHYSICS 136-2.
Natural Sciences Distro Area Natural Sciences Foundational Discipline"
PHYSICS 130-3,PHYSICS,130-3,College Physics,1,"Algebra-based physics primarily for premedical students who do not need to take calculus-based physics. Topics covered are similar to those of PHYSICS 135-3. Students with credit for a quarter of Physics 135 may not later receive credit for the comparable quarter of Physics 130. 
Prerequisites: PHYSICS 130-2, PHYSICS 136-2, and concurrent enrollment in PHYSICS 136-3.
 Natural Sciences Distro Area Natural Sciences Foundational Discipline"
