code,category,number,title,units,desc
POLI_SCI 101-7,POLI_SCI,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
POLI_SCI 101-8,POLI_SCI,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
POLI_SCI 201-0,POLI_SCI,201-0,Introduction to Political Theory,1,"Examination of texts in political theory. Topics vary but often include justice, the Greek polis, the modern state, individualism, representative democracy. Ethics Values Distro Area Interdisciplinary Distro - See Rules Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 210-0,POLI_SCI,210-0,Introduction to Empirical Methods in Political Science,1,"Tools political scientists use. How qualitative, quantitative, and experimental research designs help answer difficult descriptive and causal questions. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
POLI_SCI 211-0,POLI_SCI,211-0,Introduction to Interpretive Methods in Political Science,1,Philosophy of inquiry and interpretive research methods for students of political science. Examines diverse schools of thought on research methods and their relevance for research goals. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
POLI_SCI 212-0,POLI_SCI,212-0,Evaluating Evidence,1,"Introduction to evaluation of qualitative and quantitative evidence across science, politics, society, health, education, and industry. POLI_SCI 212-0 and COG_SCI 202-0 are taught together; may not receive credit for both courses. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area Social Behavioral Sciences Distro Area"
POLI_SCI 220-0,POLI_SCI,220-0,American Government and Politics,1,"The structure and process of American politics from competing perspectives. Analysis of representation, voting, interest groups, parties, leadership, and policymaking institutions. The gateway course for the American politics subfield. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 230-0,POLI_SCI,230-0,Introduction to Law in the Political Arena,1,"Roles of law in society and politics. Police and prisons, law and social change, courts and politics, legal reasoning, Supreme Court decision making, judicial discretion, legal strategies for making change. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 240-0,POLI_SCI,240-0,Introduction to International Relations,1,"Introduction to the major theories, concepts, and problems of contemporary international relations. Security, political economy, and cooperation. Global Perspectives on Power, Justice, and Equity Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 250-0,POLI_SCI,250-0,Introduction to Comparative Politics,1,"Politics of developing and industrialized countries across the world. Major topics include states and state-making, democracy and dictatorship, conflict and violence, constitutions, civil society, and political economy. Global Perspectives on Power, Justice, and Equity Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 301-0,POLI_SCI,301-0,Classical Political Theory,1,Political thought of Greece and Rome in historical context and with attention to contemporary theoretical interest. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules
POLI_SCI 302-0,POLI_SCI,302-0,"Subjects, Citizens, Revolutionaries: Early Modern Political Thought",1,"Political philosophers from the 16th, 17th, and 18th centuries. Topics include sources of power and their impact on justice, equality, and law. No prerequisites, but some knowledge of political theory is desirable. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules"
POLI_SCI 303-0,POLI_SCI,303-0,Modernity and Its Discontents,1,"Examination of late 19th and early 20th century social and political thought in the works of writers such as Marx, Weber, Mill, Kafka, Darwin, Nietzsche, Freud, and de Beauvoir. No prerequisites, but some knowledge of political theory is desirable. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
POLI_SCI 304-0,POLI_SCI,304-0,Human Rights Between East and West,1,"In this course, students consider challenges leveled against the declared universalism of human rights. They assess these challenges from the perspective of two non-western traditions: Islam and Confucianism. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
POLI_SCI 306-0,POLI_SCI,306-0,American Political Thought,1,Advanced introduction to the development of political thought in the United States from the revolutionaries to the 20th century pragmatists. Historical Studies Distro Area Interdisciplinary Distro - See Rules Social Behavioral Sciences Distro Area
POLI_SCI 307-0,POLI_SCI,307-0,Deportation Law and Politics,1,"POLI_SCI 307-0 Deportation Law and Politics (1 Unit) Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 308-0,POLI_SCI,308-0,Critical Theory and the Study of Politics,1,Critical theory examines and contests hegemonic thinking about politics and envisages alternate worlds of political possibility. Note: students cannot receive credit for both POLI_SCI 308-0 (Evanston) and POLI_SCI 308-SA (study abroad).
POLI_SCI 308-SA,POLI_SCI,308-SA,Critical Theory and the Study of Politics,1,"Critical theory examines and contests hegemonic thinking about politics and envisages alternate worlds of political possibility. This study abroad course is restricted to students in Northwestern's Paris program in critical theory, literature, and media."
POLI_SCI 309-0,POLI_SCI,309-0,Political Theories of the Rule of Law,1,Key documents and debates in the development of theories of law and jurisprudence. From Aeschylus to contemporary democratic and legal theories and major court cases on topics ranging from torture to Title IX. POLI_SCI 309-0 and LEGAL_ST 309-0 are taught together; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
POLI_SCI 310-0,POLI_SCI,310-0,Methods of Political Inference,1,POLI_SCI 310-0 Methods of Political Inference (1 Unit) Formal Studies Distro Area
POLI_SCI 312-0,POLI_SCI,312-0,Statistical Research Methods,1,"Statistics and data science as applied in political science, including research design, data collection and handling, social scientific communication, and transparency practices. Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
POLI_SCI 320-0,POLI_SCI,320-0,The American Presidency,1,"POLI_SCI 320-0 The American Presidency (1 Unit) 
Prerequisite: POLI_SCI 220-0 or equivalent.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 321-0,POLI_SCI,321-0,Urban Politics,1,"Structure of local and regional political power and its relation to the social and economic structure of community. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 323-0,POLI_SCI,323-0,Public Opinion and Voting Behavior,1,"POLI_SCI 323-0 Public Opinion and Voting Behavior (1 Unit) 
Prerequisite: POLI_SCI 220-0 or equivalent.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 324-0,POLI_SCI,324-0,Political Parties and Elections,1,POLI_SCI 324-0 Political Parties and Elections (1 Unit) Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
POLI_SCI 325-0,POLI_SCI,325-0,Congress and the Legislative Process,1,"POLI_SCI 325-0 Congress and the Legislative Process (1 Unit) 
Prerequisite: POLI_SCI 220-0 or equivalent.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
POLI_SCI 326-0,POLI_SCI,326-0,Race and Public Policy,1,"Analysis of how diversity shapes policy in the United States and how policies contribute to racial and ethnic diversity. Immigration reform, school choice, residential segregation, and criminal justice. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 327-0,POLI_SCI,327-0,African American Politics,1,"POLI_SCI 327-0 African American Politics (1 Unit) Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
POLI_SCI 328-0,POLI_SCI,328-0,Public Policy,1,POLI_SCI 328-0 Public Policy (1 Unit) Social and Behavioral Science Foundational Discipl
POLI_SCI 329-0,POLI_SCI,329-0,U.S. Environmental Politics,1,POLI_SCI 329-0 U.S. Environmental Politics (1 Unit) Social Behavioral Sciences Distro Area
POLI_SCI 331-0,POLI_SCI,331-0,Politics of the Supreme Court,1,"POLI_SCI 331-0 Politics of the Supreme Court (1 Unit) 
Prerequisite: POLI_SCI 220-0 or POLI_SCI 230-0."
POLI_SCI 332-0,POLI_SCI,332-0,Constitutional Law I,1,"POLI_SCI 332-0 Constitutional Law I (1 Unit) 
Prerequisite: POLI_SCI 220-0 or POLI_SCI 230-0.
Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
