code,category,number,title,units,desc
RELIGION 101-7,RELIGION,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
RELIGION 101-8,RELIGION,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
RELIGION 170-0,RELIGION,170-0,Introduction to the Study of Religion,1,"Introduces students to foundational themes, categories, content, and modes of analysis for studying religion. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 172-0,RELIGION,172-0,"Introduction to Religion, Media, and Culture",1,"Integrating multimedia modes of learning and engaging students in skill-developing mediamaking assignments, this course offers undergraduates an introduction to studying the phenomena of religion in relationship to dynamics of media, society, and culture. No prerequisites required. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 173-0,RELIGION,173-0,"Religion, Medicine & Suffering in the West",1,Examination of religious healing ceremonies and Christian perspectives on pain and suffering in light of the meaning of physical pain in people's everyday lives. Ethics Values Distro Area
RELIGION 200-0,RELIGION,200-0,Introduction to Hinduism,1,"Unity and diversity of Hindu mythology, beliefs, and practices from ancient times to the present. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 210-0,RELIGION,210-0,Introduction to Buddhism,1,"The Buddha's life and teachings, traditions that developed from these teachings, and systems of meditation, rituals, and ethics. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 220-0,RELIGION,220-0,Introduction to Hebrew Bible,1,"Critical introduction to the Hebrew Bible: its history, content, and cultural influence, as well as the sociopolitical history of ancient Israel. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 221-0,RELIGION,221-0,Introduction to the New Testament,1,"Beginning, development, and content of the New Testament; its Jewish and Hellenistic environment. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 230-0,RELIGION,230-0,Introduction to Judaism,1,"Main concepts in the theology of Judaism, main rituals and customs, and main institutions. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
