code,category,number,title,units,desc
SESP 114-0,SESP,114-0,Summer Internship,0,
SESP 115-0,SESP,115-0,Internship,0,
SESP 116-0,SESP,116-0,Finding Your Path,0,"A continuation of Finding Your Path: Pathways and Future Possibilities (SESP 251), a course that supports second-year students most impacted by the historical and contemporary realities of classism and racism as they map their path forward to career fulfillment. This class is a 0 credit class in which Pathways students conduct a search for a summer internship and then complete said internship."
SESP 195-1,SESP,195-1,Civic Engagement 1- Participatory Policymaking,1,"Policy implementation involves more than just identifying and researching options, policymakers must, consider design program design, costs & sustainability; political feasibility, and building political support.  In this class, you will learn how to design policy for implementation through Northwestern’s Participatory Budgeting process."
SESP 195-2,SESP,195-2,Civic Engagement 2: Participatory Budgeting,1,"Democracy gives limited opportunities for citizens to influence decision-making.  In this class you will learn to implement open democracy innovations, that are more inclusive, more representative, and lead to better policy outcomes, by implementing a campus-wide participatory budgeting process, where community decides how to spend $1000 to address climate change."
SESP 195-3,SESP,195-3,"Civic Engagement 3: Organizing, Gathering & Policy implementation",1,"How do we motivate people to take action? In this class, you will learn the techniques of relational organizing (canvassing, one-on-ones, public narrative), designing civic gatherings (Civic Saturdays) that move people to action to build social movements.  You will also oversee policy implementation of community development projects selected in the participatory budgeting process."
SESP 200-0,SESP,200-0,Understanding Knowledge,1,"What does it mean to know something? What are the different types of knowledge and what distinguishes them from one another? What counts as fact vs. opinion vs. belief and so on; who gets to decide and under what conditions? How is knowledge produced and how does it gain traction? How does the source and type of knowledge interact with socio-political-cultural constructs and systems of power and, in turn, how can ""knowledge"" be used to produce and/or perpetuate power and privilege or to empower those who are marginalized? Finally, how does what we do in SESP and at Northwestern as both consumers and producers of knowledge fit within the landscape of these questions? In this course students will explore these and other questions to gain insight into the social production, distribution, consumption, interpretation, and operationalization of ""knowledge."" Using primarily seminar-style discussion, the first portion of the course focuses on building and analyzing theoretical frameworks and applied texts in order to generate a working understanding of ""knowledge"" in its myriad forms. Among our goals for the first portion of the course is to tie theoretical, academic, and ""folk"" knowledges to everyday experiences and the world around us writ large. The second portion of the class will involve a series of applied of cases studies, including welcoming members of the SESP faculty community to present on their research, which we will work to bring into conversation with our generated frameworks regarding the sources, types, and implications of knowledge."
SESP 201-0,SESP,201-0,Human Development: Childhood and Adolescence,1,"Personal, social, and cognitive development from birth through adolescence. Interplay of biological and experiential factors on linguistic and conceptual development, ego, and personality."
SESP 203-0,SESP,203-0,Human Development: Adulthood and Aging,1,"Psychological, sociological, and biological factors influencing socialization and development from young and middle adulthood through old age. Influences of family, school, and work on the individual."
SESP 204-0,SESP,204-0,Designing for Social Change,1,"A key goal of this course is to acquire an intellectual and applied understanding of the principles of program design and development, which include a sustained consideration of issues affecting the quality of program implementation. This course is best suited for FIRST AND SECOND YEAR students."
SESP 210-0,SESP,210-0,Introduction to Statistics and Research Methodology,1,"Definitions and classifications of terms used in quantitative methods; measures of typical and maximum performance, reliability, and validity checks; reporting and displaying data; interpreting results."
SESP 218-0,SESP,218-0,Leaders Lab,1,"Leaders Lab is an interactive, engaging and dynamic fall quarter course that was created and designed for incoming first and second-year students in SESP to reflect, experience and engage in dialogue about the ""big"" questions in life such as: who am I? What is my purpose in life? How can I be me? What are my responsibilities to the communities I'm a part of? Why do I serve? What is leadership? How can I lead?  This course is associated with the SESP Leadership Institute. Only students enrolled in the leadership institute can register for this course."
SESP 251-0,SESP,251-0,Special Topics,1,N/A.
