code,category,number,title,units,desc
SOCIOL 101-7,SOCIOL,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SOCIOL 101-8,SOCIOL,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SOCIOL 110-0,SOCIOL,110-0,Introduction to Sociology,1,"Broad overview of a wide range of social issues and ways of sociological thinking. Characteristics of group life. Interrelations of society, culture, and personality; major social institutions and processes. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
SOCIOL 201-0,SOCIOL,201-0,"Social Inequality: Race, Class, and Power",1,"Origins and functions of stratification. Class, prestige, and esteem. Interaction of racial and cultural groups. Inequality in workplaces, neighborhoods, schools, families, media, and other settings. Social Behavioral Sciences Distro Area"
SOCIOL 202-0,SOCIOL,202-0,Social Problems,1,"Emergence of social problems. How the media, politicians, lawmakers, and others define social issues. How lives and self-images are shaped when people are connected to a social problem. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
SOCIOL 206-0,SOCIOL,206-0,Law and Society,1,"Introduction to the role of law in American society and the influence of society on law. Courts, the legal profession, law enforcement, inequality, and social change. Taught with LEGAL_ST 206-0; may not receive credit for both courses. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
SOCIOL 207-0,SOCIOL,207-0,Cities in Society,1,"Introduction to issues of cities and metropolitan areas, including spatial, economic, and political trends; private and public decision making; class, race, and gender; and possible solutions to inequalities and planning challenges. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
SOCIOL 208-0,SOCIOL,208-0,Race and Society,1,"Critical analysis of the biological myth and social reality of race; factors responsible for persistent racial inequality in the United States; social and political implications of race. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
SOCIOL 210-0,SOCIOL,210-0,Families and Societies,1,"Changes, continuities, and variations in family life in industrialized countries over the past century. Key concepts in sociology and the study of families. Explanations for changes and implications for inequality. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
SOCIOL 211-0,SOCIOL,211-0,Food and Society: An Introduction,1,"Overview of past and present food systems from a sociological perspective, examining the roles of culture, government policy, and social movements in shaping such systems and future alternatives. ENVR_POL 211-0 and SOCIOL 211-0 are taught together; may not receive credit for both courses. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
SOCIOL 212-0,SOCIOL,212-0,Environment and Society,1,"Key environmental problems, such as climate change and oil spills; how they are shaped by the market, government regulations, and social movements; possible solutions. SOCIOL 212-0 and ENVR_POL 212-0 are taught together; may not receive credit for both courses. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
SOCIOL 215-0,SOCIOL,215-0,Economy and Society,1,"Introduction to sociological approaches to economic life. Topics include property rights, illegal markets, money, economic inequalities, direct sales, and boycotts. Social Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
