code,category,number,title,units,desc
SPANISH 101-1,SPANISH,101-1,Elementary Spanish,1,"First course of a three-quarter sequence in introductory Spanish, designed for students who have never studied Spanish or studied Spanish less than two years in high school. Students will learn Spanish in order to use it beyond the classroom in meaningful and authentic ways at the Novice level of proficiency. This means that students will be able to communicate short messages on everyday topics that affect them directly."
SPANISH 101-2,SPANISH,101-2,Elementary Spanish,1,"Second course of a three-quarter sequence in introductory Spanish. Students will learn Spanish in order to use it beyond the classroom in meaningful and authentic ways at the Novice High-Intermediate Low level of proficiency. This means that students will be able to communicate short messages on everyday topics that affect them directly. 
Prerequisite: SPANISH 101-1."
SPANISH 101-3,SPANISH,101-3,Elementary Spanish,1,"Third course of a three-quarter sequence in introductory Spanish. Students will learn Spanish in order to use it beyond the classroom in meaningful and authentic ways at the Intermediate Low level of proficiency. This means that students will be able to communicate messages on everyday topics that affect them directly. 
Prerequisite: SPANISH 101-2."
SPANISH 105-7,SPANISH,105-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SPANISH 105-8,SPANISH,105-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SPANISH 115-1,SPANISH,115-1,Accelerated Elementary Spanish,1,"First course of a two-quarter sequence in introductory Spanish designed for students with previous experience in Spanish. Students will learn Spanish in order to use it beyond the classroom in meaningful and authentic ways at the Novice High-Intermediate Low level of proficiency. This means that students will be able to communicate short messages on everyday topics that affect them directly. Offered in winter. 
Prerequisite: sufficient score on Spanish Language Placement Exam."
SPANISH 115-2,SPANISH,115-2,Accelerated Elementary Spanish,1,"Second course of a two-quarter sequence in introductory Spanish designed for students with previous experience in Spanish. Students will learn Spanish in order to use it beyond the classroom in meaningful and authentic ways at the Intermediate Low level of proficiency. This means that students will be able to communicate messages on everyday topics that affect them directly. Offered in spring. 
Prerequisite: SPANISH 115-1."
SPANISH 121-1,SPANISH,121-1,Intermediate Spanish,1,"First course in a three-quarter sequence in Intermediate Spanish. Further development of communicative proficiency with an emphasis on the functional use of Spanish and cultural content and reflection. 
Prerequisite: SPANISH 101-3, SPANISH 115-2, or sufficient score on Spanish Language Placement Exam."
SPANISH 121-2,SPANISH,121-2,Intermediate Spanish,1,"Second course in a three-quarter sequence in Intermediate Spanish. Further development of communicative proficiency with an emphasis on the functional use of Spanish and cultural content and reflection. 
Prerequisite: SPANISH 121-1."
SPANISH 121-3,SPANISH,121-3,Intermediate Spanish,1,"Third course in a three-quarter sequence in Intermediate Spanish. Further development of communicative proficiency with an emphasis on the functional use of Spanish and cultural content and reflection. 
Prerequisite: SPANISH 121-2."
SPANISH 125-0,SPANISH,125-0,Accelerated Intermediate Spanish,1,"Further development of communicative proficiency at the intermediate high level with an emphasis on the Hispanic world and the development of cultural competence. This means that students will be able to communicate familiar and some researched topics, often across various time frames. Offered in fall only. 
Prerequisite: AP score of 3 or sufficient score on Spanish Language Placement Exam."
SPANISH 127-0,SPANISH,127-0,Accelerated Intermediate Spanish for Heritage Language Learners,1,"The main purpose of this course is to build upon the language knowledge that students bring to the classroom and advance their proficiency of Spanish for multiple contexts. The course content will generate opportunities for students to hone their oral and written skills, to become acquainted with more formal registers of Spanish and to deepen their sense of pride in their linguistic and cultural heritage in order to communicate more effectively and more confidently in the target language. Offered in fall only. 
Prerequisite: AP score of 3 or or sufficient score on Spanish Language Placement Exam."
SPANISH 190-SA,SPANISH,190-SA,Intermediate Spanish Grammar,1,"Development of grammar, vocabulary, and writing skills through emphasis on cultural content and functional use of language in Spanish-speaking countries. Restricted to students participating in Northwestern study abroad programs. 
Prerequisites: SPANISH 101-3, SPANISH 115-2, SPANISH 121-3, SPANISH 125-0, or SPANISH 127-0."
SPANISH 191-SA,SPANISH,191-SA,Intermediate Spanish Conversation,0,"Development of speaking strategies and structures through examination of cultural topics and daily life in Spanish-speaking countries. Emphasis on accurate formal and informal conversation and specialized vocabulary. Restricted to students participating in Northwestern study abroad programs. 
Prerequisites: SPANISH 101-3, SPANISH 115-2, SPANISH 121-3, SPANISH 125-0, or SPANISH 127-0."
SPANISH 199-SA,SPANISH,199-SA,Language in Context: Contemporary Spain,1,"An introduction to the culture and sociopolitical issues of contemporary Spain is the basis for reviewing and solidifying communicative functions that pose certain challenges to Spanish learners, and for fully integrating all language skills in Spanish. Restricted to students on Northwestern study abroad programs. 
Prerequisites: SPANISH 101-3, SPANISH 115-2, SPANISH 121-3, SPANISH 125-0, or SPANISH 127-0."
