code,category,number,title,units,desc
STAT 101-7,STAT,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
STAT 101-8,STAT,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
STAT 201-0,STAT,201-0,Introduction to Programming for Data Science,1,"This course is an introduction programming for Data Science. It will prepare students to use essential programming methods as implemented in either Python or R as a tool in the subsequent data science courses including STAT 301-1, STAT 302-0, STAT 303-1, STAT 304-0, STAT 305-0, STAT 350-0, etc. 
Prerequisite: High School Algebra.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
STAT 202-0,STAT,202-0,Introduction to Statistics and Data Science,1,"Data collection, summarization, correlation, regression, sampling, confidence intervals, tests of significance. Introduction to data analysis techniques using R programming, no prior programming experience required. May not receive credit for both STAT 202-0 and STAT 210-0. 
Prerequisite: makes minimal use of high school algebra (calculus is not required).
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
STAT 202-SG,STAT,202-SG,Peer-Guided Study Group: Introduction to Statistics and Data Science,0,"Peer-guided study group for students enrolled in STAT 202-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
STAT 210-0,STAT,210-0,Introduction to Probability and Statistics,1,"A mathematical introduction to probability theory and statistical methods, including properties of probability distributions, sampling distributions, estimation, confidence intervals, and hypothesis testing. STAT 210-0 is primarily intended for economics majors. May not receive credit for both STAT 202-0 and STAT 210-0. 
Prerequisite: strong background in high school algebra (calculus is not required).
Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
STAT 210-SG,STAT,210-SG,Peer-Guided Study Group: Introduction to Probability and Statistics,0,"Peer-guided study group for students enrolled in STAT 210-0.  Meets weekly in small groups, along with a peer facilitator, to collaboratively review material, work through practice problems, and clarify course concepts. Enrollment optional. Graded S/U."
STAT 228-0,STAT,228-0,Series and Multiple Integrals,1,"Sequences and series, and convergence tests. Power series, Taylor polynomials and error. Double integrals, triple integrals, and change of variables. Students may receive credit for only one of MATH 235‐0, MATH 226‐0, or STAT 228‐0. 
Prerequisite: MATH 218‐3 or MATH 220‐2, and MATH 228‐1 or MATH 230‐1 or MATH 281‐1 or MATH 285‐2 or MATH 290‐2 or MATH 291‐2 or ES_APPM 252‐1.
 Empirical and Deductive Reasoning Foundational Dis Formal Studies Distro Area"
STAT 232-0,STAT,232-0,Applied Statistics,1,"Basic concepts of using statistical models to draw conclusions from experimental and survey data. Topics include simple linear regression, multiple regression, analysis of variance, and analysis of covariance. Practical application of the methods and the interpretation of the results will be emphasized. 
Prerequisites: STAT 202-0, STAT 210-0, or equivalent; MATH 220-1.
 Formal Studies Distro Area"
STAT 301-1,STAT,301-1,Data Science 1 with R,1,"STAT 301-1 Data Science 1 with R (1 Unit) 
Prerequisite: STAT 201-0 or COMP_SCI 110-0 and STAT 202-0 or STAT 210-0 or STAT 232-0 or PSYCH 201-0 or IEMS 201-0 or IEMS 303-0 or equivalent.
Formal Studies Distro Area"
STAT 301-2,STAT,301-2,Data Science 2 with R,1,"STAT 301-2 Data Science 2 with R (1 Unit) 
Prerequisite: STAT 301-1.
Formal Studies Distro Area"
STAT 301-3,STAT,301-3,Data Science 3 with R,1,"STAT 301-3 Data Science 3 with R (1 Unit) 
Prerequisite: STAT 301-2.
Formal Studies Distro Area"
STAT 302-0,STAT,302-0,Data Visualization,1,"STAT 302-0 Data Visualization (1 Unit) 
Prerequisite: STAT 202-0 or equivalent.
Formal Studies Distro Area"
STAT 303-1,STAT,303-1,Data Science 1 with Python,1,"STAT 303-1 Data Science 1 with Python (1 Unit) 
Prerequisite: STAT 201-0 or COMP_SCI 110-0 and STAT 202-0 or STAT 210-0 or STAT 232-0 or PSYCH 201-0 or IEMS 201-0 or IEMS 303-0 or equivalent.
Formal Studies Distro Area"
STAT 303-2,STAT,303-2,Data Science 2 with Python,1,"STAT 303-2 Data Science 2 with Python (1 Unit) 
Prerequisite: STAT 303-1.
Formal Studies Distro Area"
STAT 303-3,STAT,303-3,Data Science 3 with Python,1,"STAT 303-3 Data Science 3 with Python (1 Unit) 
Prerequisite: STAT 303-2.
Formal Studies Distro Area"
