code,category,number,title,units,desc
TEACH_ED 301-0,TEACH_ED,301-0,Schooling in America,1,This course will explore the development of schools in the United States by understanding the ideologies and decisions (pedagogical and political) that have shaped schools over 200 years.
TEACH_ED 302-0,TEACH_ED,302-0,"Social, Cultural, and Linguistic Contexts of Education",1,"This course is designed to explore how the ways that we live culturally provide strengths for teaching, learning and design. The course draws from the interdisciplinary study of socio-cultural, linguistic, and contextual influences of education, as well as perspectives from learning, teaching, research and policy. Candidates will examine how issues of power and privilege as they pertain to race, ethnicity, language, class, gender, sexuality and identity politics shape and are shaped within our education system. Candidates will be asked to consider their own schooling experiences, and deeply evaluate their beliefs, thoughts and assumptions about the influence of various legal, historical, socio-cultural and linguistic factors on their ideas about teaching, learning, and schooling. Special attention will be given to the major trends that influence contemporary landscapes of PK-12 education and the potential systemic benefits and harms associated with them. Candidates will produce an autoethnography that considers the impact of personal formal and informal learning experiences rooted in racial, cultural and linguistic identity on their life view, as well as how they move through the world as advocates for justice."
TEACH_ED 309-0,TEACH_ED,309-0,Designing and Supporting Discourse-Rich Environments for Learning,1,"Across the K-12 curriculum, approaches to teaching and learning that focus on student sensemaking and meaningful learning rely on creating a classroom where much of this sensemaking work occurs through talk. Supporting productive classroom discourse is a key element in engaging students in meaningful knowledge-building work. Teachers need tools and strategies to create and support an environment in which students feel welcome and responsible for contributing by sharing their ideas, building on one another’s thinking, and working together to further their learning as a community. This course address how to support discourse in the classroom, including designing discussion-based tasks, supporting students in academic discourse, creating a classroom climate supportive of discussion, questioning strategies and talk moves that facilitate discussion, and assessment in discussion-based tasks. We will examine current approaches to supporting effective classroom discussions drawn from elementary, middle school, and high school classrooms, and across multiple disciplines including math, literacy, history, science, and others. Work in the course will involve discussing articles sharing discourse strategies and analyzing video of classroom interactions to see these approaches in action. Students will have the opportunity to work with the tools and strategies of the course in analyzing a classroom discussion they choose to observe, designing discussion-based lessons for their own teaching context, and to try out these tools in facilitating discussions with their peers."
TEACH_ED 310-0,TEACH_ED,310-0,Foundations of Learning in a New Language,1,"Historical, political, sociocultural, and educational practices that impact linguistically and culturally diverse learners in American schools."
TEACH_ED 311-0,TEACH_ED,311-0,Elementary Science Methods and Content,1,"This is Part I of a two-part combined Elementary Science and Social Studies Methods course sequence. This course prepares preservice teachers to teach science and social studies in the elementary grades.  Inquiry is a grounding principle that will be explored in the context of both science and social studies planning. Candidates will examine interdisciplinary planning and shared pedagogy, and methodologies for both science and social studies.  Some class sessions, readings, or experiences will focus on either science or social studies in contrast with some of the cross-curricular approaches.  Science topics include the fundamental principles and interrelationships among various areas of science (life, physical, environmental, earth and space), science and engineering practices and investigation to solve problems, and how to engage students in acquiring new knowledge.  The broad range of social science content will be addressed, including history, geography, culture, economics and citizenship, with connections to Illinois, the United States and the world. Candidates will work with and examine Next Generation Science Standards, Common Core Standards, and Illinois State Standards."
TEACH_ED 314-0,TEACH_ED,314-0,Math for Elementary Teachers,1,Math for Elementary Teachers.
TEACH_ED 315-0,TEACH_ED,315-0,Elementary Social Studies Methods and Content,1,"This is Part II of a two-part combined Elementary Science and Social Studies Methods course sequence. Candidates will continue their work and study from Part I. This course prepares preservice teachers to teach science and social studies in the elementary grades. Inquiry is a grounding principle that will be explored in the context of both science and social studies planning. Candidates will examine interdisciplinary planning and shared pedagogy, and methodologies for both science and social studies. Some class sessions, readings, or experiences will focus on either science or social studies in contrast with some of the cross-curricular approaches. Science topics include the fundamental principles and interrelationships among various areas of science (life, physical, environmental, earth and space), science and engineering practices and investigation to solve problems, and how to engage students in acquiring new knowledge. The broad range of social science content will be addressed, including history, geography, culture, economics and citizenship, with connections to Illinois, the United States and the world. Candidates will work with and examine Next Generation Science Standards, Common Core Standards, and Illinois State Standards. 
Prereq: completion of TEACH_ED 311."
TEACH_ED 318-0,TEACH_ED,318-0,Teaching Math: Geometry,1,"The course is intended to deepen conceptual understanding of middle school and high school geometry topics, especially as related to attributes and relationships of geometric objects."
TEACH_ED 319-0,TEACH_ED,319-0,Teaching Math: Statistics and Probability,1,This course aims to effectively prepare teachers to help middle school and high school students “learn with understanding” the fundamentally important statistics and probability concepts and skills that are needed for today’s world and that are articulated in the Common Core State Standards.
TEACH_ED 320-0,TEACH_ED,320-0,Designing for Linguistically and Culturally Sustaining Instruction,1,"The Designing for Culturally and Linguistically Sustaining Teaching course engages pre-service candidates in developing equitable and sustaining planning and instructional techniques reflective of the lives, languages, literacies, and cultural ways of being that represent the children they will teach. Through exploring diverse heterogeneous instructional practices, this course delves into understanding strategies and ways of thinking about content that transform the daily instructional experiences we can offer our students, making connections a reality."
