code,category,number,title,units,desc
THEATRE 151-0,THEATRE,151-0,Class Voice for Music Theatre,0.5,"This group voice class is designed to improve each individual student’s vocal instrument and their unique approach to singing. The class will study vocal technique and performance of musical theatre, focusing on healthy vocal production including sustainable respiration, phonation, and resonance. Using a diverse range of teaching methods and performance literature, students will be guided to moments of self-discovery with emphasis given to strengthening technique, applying technique to musical theatre repertoire, and improving confidence in performance."
THEATRE 160-1,THEATRE,160-1,Introduction to Theatrical Performance,1,"In this course, students contextualize, interpret, perform, and critique theatrical texts to develop artistic points of view on the practice of theatre."
THEATRE 160-2,THEATRE,160-2,Introduction to Theatreical Contexts and Research,1,This class equips students with critical modes of thinking about theatre as both a practice and a discipline. It will feature a range of analytical and practical methodologies and develop students’ ability to craft independent research papers.
THEATRE 160-3,THEATRE,160-3,Introduction to Theatrical Design and Management,1,This course immerses theatre majors in an in-depth study of professional production and design processes. It includes a production lab to implement the directing and design process.
THEATRE 170-0,THEATRE,170-0,Voice for Performance,1,"The focus is on the development of vocal technique for the performer through work on body alignment, breathing, vocal placement, resonance and exploration of the sounds of English using the IPA (International Phonetic Alphabet).  Individual vocal problems are analyzed and remedial work prescribed.  Concentrates on developing the speaking voice using the sounds of English and their relationship to meaning through the use of poetry and selected text.  Open to theatre majors only."
THEATRE 171-0,THEATRE,171-0,Basic Acting,1,"For non-majors. Introduction to the study of acting: sensory response, imagination, and characterization work leading to prepared scenes from selected plays."
THEATRE 172-0,THEATRE,172-0,Movement for Performance,1,"This course introduces fundamental tools for embodied performance. Students will gain an introductory knowledge of how their body functions, and how to use sensory perception and proprioception to enliven their skills as performers."
THEATRE 211-0,THEATRE,211-0,Fundamentals of Stage Directing,1,"An introductory course focusing on defining the role of the director, as well as practical strategies for work with text and actors."
THEATRE 220-0,THEATRE,220-0,Introduction to Theatre Design,1,"Introduces the principles and elements of visual design as they relate to the theatre design areas of scenery, costume, and lighting. Applies these principles and elements to a play by creating scenery, costume, and lighting design ideas based on text analysis, point of view, and research in a production notebook format. Does not count toward the requirements for the theatre major. Course is a requirement and prerequisite for all 200-level design courses for the theatre minor."
THEATRE 221-1,THEATRE,221-1,Design Process: Scene,1,"Development of stage design for the theatrical designer, from initial reading of the script to final design. Crew participation in department productions. 1. Scene design. 
Prerequisite: sophomore standing and consent of instructor."
THEATRE 221-2,THEATRE,221-2,Design Process: Costume,1,"Development of stage design for the theatrical designer, from initial reading of the script to final design. Crew participation in department productions. 2. Costume design. 
Prerequisite: sophomore standing and consent of instructor."
THEATRE 221-3,THEATRE,221-3,Design Process: Lighting,1,"Development of stage design for the theatrical designer, from initial reading of the script to final design. Crew participation in department productions. 3. Lighting design. 
Prerequisite: sophomore standing and consent of instructor."
THEATRE 222-0,THEATRE,222-0,Stage Makeup,1,"Theory and practice of stage makeup. Crew participation in department productions. 
Prerequisite: consent of instructor."
THEATRE 223-0,THEATRE,223-0,Theatre Sound,1,"An introductory class in sound design for the theatre. Crew participation in department productions. 
Prerequisite: consent of instructor."
THEATRE 231-0,THEATRE,231-0,Theatre for Young Audiences,1,"Selection, evaluation, direction, and production of plays for children. 
Prerequisite: consent of instructor."
THEATRE 240-0,THEATRE,240-0,Special Topics in Theatre Studies,1,"Content varies. Studies of individual playwrights, national or regional theatres, historical periods, performace practices, or theoretical inquiries. 
Prerequisite: THEATRE 140-1, THEATRE 140-2 or consent of instructor."
