code,category,number,title,units,desc
WIND_PER 111-0,WIND_PER,111-0,Applied Flute for Music Majors,1,
WIND_PER 112-0,WIND_PER,112-0,Applied Oboe for Music Majors,1,
WIND_PER 113-0,WIND_PER,113-0,Applied Clarinet for Music Majors,1,
WIND_PER 114-0,WIND_PER,114-0,Applied Saxophone for Music Majors,1,
WIND_PER 115-0,WIND_PER,115-0,Applied Bassoon for Music Majors,1,
WIND_PER 121-0,WIND_PER,121-0,Applied Trumpet for Music Majors,1,
WIND_PER 122-0,WIND_PER,122-0,Applied French Horn for Music Majors,1,
WIND_PER 123-0,WIND_PER,123-0,Applied Euphonium for Music Majors,1,
WIND_PER 124-0,WIND_PER,124-0,Applied Trombone for Music Majors,1,
WIND_PER 125-0,WIND_PER,125-0,Applied Tuba for Music Majors,1,
WIND_PER 131-0,WIND_PER,131-0,Applied Percussion for Music Majors,1,
WIND_PER 211-0,WIND_PER,211-0,Applied Flute for Music Majors,1,
WIND_PER 212-0,WIND_PER,212-0,Applied Oboe for Music Majors,1,
WIND_PER 213-0,WIND_PER,213-0,Applied Clarinet for Music Majors,1,
WIND_PER 214-0,WIND_PER,214-0,Applied Saxophone for Music Majors,1,
WIND_PER 215-0,WIND_PER,215-0,Applied Bassoon for Music Majors,1,
WIND_PER 221-0,WIND_PER,221-0,Applied Trumpet for Music Majors,1,
WIND_PER 222-0,WIND_PER,222-0,Applied French Horn for Music Majors,1,
WIND_PER 223-0,WIND_PER,223-0,Applied Euphonium for Music Majors,1,
WIND_PER 224-0,WIND_PER,224-0,Applied Trombone for Music Majors,1,
WIND_PER 225-0,WIND_PER,225-0,Applied Tuba for Music Majors,1,
WIND_PER 231-0,WIND_PER,231-0,Applied Percussion for Music Majors,1,
WIND_PER 302-0,WIND_PER,302-0,Warm-Up Class,0,
WIND_PER 305-0,WIND_PER,305-0,Optional Recital,0,
WIND_PER 311-0,WIND_PER,311-0,Applied Flute for Music Majors,1,
WIND_PER 312-0,WIND_PER,312-0,Applied Oboe for Music Majors,1,
WIND_PER 313-0,WIND_PER,313-0,Applied Clarinet for Music Majors,1,
WIND_PER 314-0,WIND_PER,314-0,Applied Saxophone for Music Majors,1,
WIND_PER 315-0,WIND_PER,315-0,Applied Bassoon for Music Majors,1,
WIND_PER 321-0,WIND_PER,321-0,Applied Trumpet for Music Majors,1,
WIND_PER 322-0,WIND_PER,322-0,Applied French Horn for Music Majors,1,
WIND_PER 323-0,WIND_PER,323-0,Applied Euphonium for Music Majors,1,
WIND_PER 324-0,WIND_PER,324-0,Applied Trombone for Music Majors,1,
WIND_PER 325-0,WIND_PER,325-0,Applied Tuba for Music Majors,1,
WIND_PER 331-0,WIND_PER,331-0,Applied Percussion for Music Majors,1,
WIND_PER 335-0,WIND_PER,335-0,Selected Topics,0.5-1,Topics vary; announced before registration. May be repeated.
WIND_PER 347-0,WIND_PER,347-0,Percussion Pedagogy,0.5,"Methods, materials, and writings related to percussion playing and teaching."
WIND_PER 352-0,WIND_PER,352-0,Preparing for an Audition,0.5,
WIND_PER 357-0,WIND_PER,357-0,Reed Making,0.5,
WIND_PER 359-0,WIND_PER,359-0,Teaching Techniques,0.5,
WIND_PER 360-0,WIND_PER,360-0,Bass Clarinet,0.5,
WIND_PER 361-0,WIND_PER,361-0,English Horn,0.5,
WIND_PER 362-0,WIND_PER,362-0,Baroque Flute,0.5,
WIND_PER 370-0,WIND_PER,370-0,Junior Recital,0,
WIND_PER 380-0,WIND_PER,380-0,Senior Recital,0,
WIND_PER 390-0,WIND_PER,390-0,Studio Class,0,
WIND_PER 392-0,WIND_PER,392-0,Studio Ensemble for Music Majors,0.5,
WIND_PER 393-0,WIND_PER,393-0,Repertoire Studies,0.5,"Includes winds/brass/percussion orchestral repertoire, clarinet orchestral studies, and studies in woodwind and brass literature."
WIND_PER 399-0,WIND_PER,399-0,Independent Study,0.5-1,
