code,title,href,status
AFST,African Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/afst/,todo
AMER_ST,American Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/amer_st/,todo
ANTHRO,Anthropology,https://catalogs.northwestern.edu/undergraduate/courses-az/anthro/,todo
ARABIC,Arabic,https://catalogs.northwestern.edu/undergraduate/courses-az/arabic/,todo
ART_HIST,Art History,https://catalogs.northwestern.edu/undergraduate/courses-az/art_hist/,todo
ART,Art Theory & Practice,https://catalogs.northwestern.edu/undergraduate/courses-az/art/,todo
ASIAN_AM,Asian American Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/asian_am/,todo
ASIAN_LC,Asian Languages and Cultures,https://catalogs.northwestern.edu/undergraduate/courses-az/asian_lc/,todo
ASTRON,Astronomy,https://catalogs.northwestern.edu/undergraduate/courses-az/astron/,todo
BIOL_SCI,Biological Sciences,https://catalogs.northwestern.edu/undergraduate/courses-az/biol_sci/,todo
BMD_ENG,Biomedical Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/bmd_eng/,todo
BLK_ST,Black Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/blk_st/,todo
BUS_INST,Business Institutions,https://catalogs.northwestern.edu/undergraduate/courses-az/bus_inst/,todo
CRDV,Career Development,https://catalogs.northwestern.edu/undergraduate/courses-az/crdv/,todo
LDRSHP,Center for Leadership,https://catalogs.northwestern.edu/undergraduate/courses-az/ldrshp/,todo
CHEM_ENG,Chemical Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/chem_eng/,todo
CHEM,Chemistry,https://catalogs.northwestern.edu/undergraduate/courses-az/chem/,todo
CFS,Chicago Field Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/cfs/,todo
CHINESE,Chinese,https://catalogs.northwestern.edu/undergraduate/courses-az/chinese/,todo
CIV_ENV,Civil and Environmental Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/civ_env/,todo
CLASSICS,Classics - Readings in English,https://catalogs.northwestern.edu/undergraduate/courses-az/classics/,todo
COG_SCI,Cognitive Science,https://catalogs.northwestern.edu/undergraduate/courses-az/cog_sci/,todo
CMN,Communication Related Courses,https://catalogs.northwestern.edu/undergraduate/courses-az/cmn/,todo
CSD,Communication Sciences and Disorders,https://catalogs.northwestern.edu/undergraduate/courses-az/csd/,todo
COMM_ST,Communication Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/comm_st/,todo
COMP_LIT,Comparative Literary Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/comp_lit/,todo
COMP_ENG,Computer Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/comp_eng/,todo
COMP_SCI,Computer Science,https://catalogs.northwestern.edu/undergraduate/courses-az/comp_sci/,todo
CONDUCT,Conducting,https://catalogs.northwestern.edu/undergraduate/courses-az/conduct/,todo
DANCE,Dance,https://catalogs.northwestern.edu/undergraduate/courses-az/dance/,todo
DATA_ENG,Data Science & Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/data_eng/,todo
EARTH,Earth and Planetary Sciences,https://catalogs.northwestern.edu/undergraduate/courses-az/earth/,todo
ECON,Economics,https://catalogs.northwestern.edu/undergraduate/courses-az/econ/,todo
ELEC_ENG,Electrical Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/elec_eng/,todo
ES_APPM,Engineering Science & Applied Math,https://catalogs.northwestern.edu/undergraduate/courses-az/es_appm/,todo
ENGLISH,English,https://catalogs.northwestern.edu/undergraduate/courses-az/english/,todo
ENTREP,Entrepreneurship & Innovation,https://catalogs.northwestern.edu/undergraduate/courses-az/entrep/,todo
ENVR_POL,Environmental Policy & Culture,https://catalogs.northwestern.edu/undergraduate/courses-az/envr_pol/,todo
ENVR_SCI,Environmental Science,https://catalogs.northwestern.edu/undergraduate/courses-az/envr_sci/,todo
KELLG_FE,Financial Economics,https://catalogs.northwestern.edu/undergraduate/courses-az/kellg_fe/,todo
FRENCH,French,https://catalogs.northwestern.edu/undergraduate/courses-az/french/,todo
GNDR_ST,Gender Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/gndr_st/,todo
GEN_ENG,General Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/gen_eng/,todo
GEN_LA,General Liberal Arts,https://catalogs.northwestern.edu/undergraduate/courses-az/gen_la/,todo
GEN_MUS,General Music,https://catalogs.northwestern.edu/undergraduate/courses-az/gen_mus/,todo
GEOG,Geography,https://catalogs.northwestern.edu/undergraduate/courses-az/geog/,todo
